Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 19
Table 6. Prevalence of presumptive ESBL- and AmpC-producing E. coli isolates from broilers collected within the specific ESBLs/AmpC/Carbapenemase

-- Table 1 (auto-detected) --
"N
s","ESBL and/or
AmpC(a)",,ESBL(b),,"ESBL only
CTX/CLA SYN(c)",,"ESBL only
CAZ/CLA SYN(d)",,AmpC(e),,AmpC + ESBL(f)
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
360,18.1,14.5-22.7,14,10.7-18.2,3.6,1.9-6.1,0,0-1,4.7,2.8-7.5,0.6,0.1-2,0.3
257,76.6,69.3-80.3,74.6,67.3-78.5,6,3.3-9.4,3.6,1.6-6.5,5.2,2.7-8.5,3.2,1.4-6,0
411,53.3,31.8-58.2,33.4,18.9-38.1,14.5,7.3-18.4,0.4,0-1.3,20.6,10.9-24.9,0.7,0.1-1.7,0
175,51.4,41-56.2,36.3,27.3-41.8,23.6,16.4-29.2,0.6,0-3.1,15.1,9.5-20.4,0,0-2.1,0
152,27,20.1-34.8,23,16.6-30.5,9.2,5.1-15,0,0-2.4,5.3,2.3-10.1,1.3,0.2-4.7,0
300,36,30.6-41.7,28,23-33.4,16.3,12.3-21,0,0-1.2,8.3,5.5-12.1,0.3,0-1.8,0
308,2.6,1.1-5.1,1,0.2-2.8,0,0-1.2,0,0-1.2,1.6,0.5-3.7,0,0-1.2,0
85,49.4,38.4-60.5,48.2,37.3-59.3,7.1,2.6-14.7,2.4,0.3-8.2,5.9,1.9-13.2,4.7,1.3-11.6,0
309,0.3,0-1.8,0.3,0-1.8,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2,0
342,9.1,6.2-12.6,7.6,5-10.9,0.3,0-1.6,0.3,0-1.6,2.6,1.2-4.9,1.2,0.3-3,0
422,36,30.3-39.6,34.3,28.7-37.9,2.4,1.1-4.3,0.5,0.1-1.7,4.9,2.9-7.2,3.2,1.7-5.2,0
312,53.2,47.5-58.8,39.4,34-45.1,16,12.1-20.6,0,0-1.2,17.3,13.3-22,3.5,1.8-6.2,0
300,40.3,34.7-46.1,19.7,15.3-24.6,6.7,4.1-10.1,0,0-1.2,21.3,16.8-26.4,0.7,0.1-2.4,0
300,16,12-20.6,7.7,4.9-11.3,2.3,0.9-4.7,1,0.2-2.9,8.7,5.7-12.4,0.3,0-1.8,0
464,47.6,43-52.3,36,31.6-40.5,11,8.3-14.2,0.9,0.2-2.2,12.9,10-16.3,1.3,0.5-2.8,0
150,45.3,37.2-53.7,24,17.4-31.6,0,0-2.4,0,0-2.4,22,15.7-29.5,0.7,0-3.7,0
150,87.3,80.9-92.2,60.7,52.4-68.5,8,4.2-13.6,0,0-2.4,26.6,19.8-34.5,0,0-2.4,0
8,25,0.3-52.7,25,0.3-52.7,25,0.3-52.7,0,0-36.9,0,0-36.9,0,0-36.9,0
2,100,1.3-100,100,1.3-100,0,0-84.2,0,0-84.2,0,0-84.2,0,0-84.2,0
305,9.5,6.7-13.7,8.6,5.9-12.6,1,0.2-2.8,0,0-1.2,1.6,0.5-3.8,0.6,0.1-2.3,0
306,24.8,20.1-30.1,15.4,11.5-19.9,3.9,2-6.7,0,0-1.2,10.1,7-14.1,0.7,0.1-2.3,0
262,53.4,46.1-58.5,52.6,45.3-57.7,7,4.1-10.6,0.4,0-2.1,7,4.1-10.6,6.3,3.5-9.7,0
813,61.7,56.6-63.4,39.8,35.4-42.2,9.5,7.3-11.4,0.5,0.1-1.3,23.8,20.3-26.2,1.9,1-3,0
147,98.6,94.2-99.6,77.4,69.2-83.4,49.3,40.7-57.3,2.1,0.4-5.8,22.6,16-30.1,1.4,0.2-4.8,0
153,70.6,62.7-77.7,49,40.9-57.2,19.6,13.6-26.8,0.6,0-3.6,21.6,15.3-28.9,0,0-2.4,0
444,53.4,48.6-58.1,48,43.2-52.7,8.5,6.1-11.6,0,0-0.8,7.6,5.4-10.5,2.2,1.1-4.1,0
300,11,7.7-15.1,3.3,1.6-6,3,1.4-5.6,0,0-1.2,7.7,4.9-11.3,0,0-1.2,0
"7,537",39.6,37.1-40.7,29.7,27.6-29.7,8,7.2-8.4,0.4,0.3-0.6,11.4,10.3-11.7,1.4,1.1-1.7,0
149,0.7,0-3.7,0,0-2.4,0,0-2.4,0,0-2.4,0.7,0-3.7,0,0-2.4,0
242,0.4,0-2.3,0,0-1.5,0,0-1.5,0,0-1.5,0.4,0-2.3,0,0-1.5,0
612,9,6.8-11.5,4.4,2.9-6.4,1.5,0.7-2.8,0.7,0.2-1.7,4.6,3.1-6.5,0,0-0.6,0
350,4.6,2.6-7.3,3.4,1.8-5.9,0,0-1,0.3,0-1.6,1.1,0.3-2.9,0,0-1,0
