Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 21
Table 7. Occurrence of presumptive ESBL- and AmpC-producing E. coli isolates from broilers collected within the specific ESBLs-/AmpC-/carbapenemase

-- Table 1 (auto-detected) --
"N
P2","ESBL and/or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ SYN(d)",,AmpC(e),,AmpC +ESBL(f)
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
67,65,97,50,74.6,13,19.4,0,0,15,22.4,2,3,1
201,185,92,180,89.6,15,7.5,9,4.5,5,2.5,8,4,0
150,148,98.7,92,61.3,41,27.3,1,0.7,56,37.3,2,1.3,0
85,85,100,60,70.6,39,45.9,1,1.2,25,29.4,0,0,0
41,39,95.1,33,80.5,14,34.1,0,0,6,14.6,2,4.9,0
108,107,99.1,83,76.9,49,45.4,0,0,24,22.2,1,0.9,0
8,8,100,3,37.5,0,0,0,0,5,62.5,0,0,0
42,38,90.5,37,88.1,6,14.3,2,4.8,1,2.4,4,9.5,0
1,1,100,1,100,0,0,0,0,0,0,0,0,0
33,27,81.8,22,66.7,1,3,1,3,5,15.2,4,12.1,0
149,134,89.9,127,85.2,10,6.7,2,1.3,7,4.7,13,8.7,0
166,155,93.4,112,67.5,50,30.1,0,0,43,25.9,11,6.6,0
121,119,98.3,57,47.1,20,16.5,0,0,62,51.2,2,1.7,0
49,47,95.9,22,44.9,7,14.3,3,6.1,25,51,1,2,0
221,215,97.3,161,72.9,51,23.1,4,1.8,54,24.4,6,2.7,0
68,67,98.5,35,51.5,0,0,0,0,32,47.1,1,1.5,0
131,131,100,91,69.5,12,9.2,0,0,40,30.5,0,0,0
1,1,100,1,100,1,100,0,0,0,0,0,0,0
1,1,100,1,100,0,0,0,0,0,0,0,0,0
31,28,90.3,25,80.6,3,9.7,0,0,3,9.7,2,6.5,0
80,74,92.5,45,56.2,12,15,0,0,29,36.2,2,2.5,0
137,121,88.3,119,86.9,18,13.1,1,0.7,2,1.5,16,11.7,0
496,472,95.2,300,60.5,75,15.1,4,0.8,172,34.7,15,3,0
146,142,97.3,111,76,72,49.3,3,2.1,31,21.2,2,1.4,0
110,108,98.2,75,68.2,30,27.3,1,0.9,33,30,0,0,0
237,227,95.8,203,85.7,38,16,0,0,24,10.1,10,4.2,0
34,33,97.1,10,29.4,9,26.5,0,0,23,67.6,0,0,0
"2,914",2778,95.3,2056,70.6,586,20.1,32,1.1,722,24.8,104,3.6,1
1,1,100,0,0,0,0,0,0,1,100,0,0,0
1,1,100,0,0,0,0,0,0,1,100,0,0,0
61,55,90.2,27,44.3,44.3,9,14.8,4,28,45.9,45.9,0,0
17,16,94.1,12,70.6,70.6,0,0,1,4,23.5,23.5,0,0
