Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 23
Table 8. Prevalence of presumptive ESBL- and AmpC-producing E. coli isolates from fattening turkeys collected within the specific ESBLs-/AmpC-

-- Table 1 (auto-detected) --
Country,Ns,,"ESBL and/or
AmpC(a)",,,,ESBL only,,,"ESBL only
CAZ/CLA SYN(d)"
,,,,,ESBL(b),,,,,,,AmpC(e),,AmpC + ESBL(f),,CPs(g)
,,,,,,,CTX/CLA SYN(c)

,,,%P,95% CI,%P,95% CI,,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
,,276,24.3,19.7-30.2,20.4,16-25.9,,2.9,1.3-5.6,0,0-1.3,4.3,2.3-7.5,0.3,0-2,0
,,151,46.4,36.3-52.7,40.1,30.6-46.7,,0.7,0-3.6,2.8,0.7-6.6,8.3,4.2-13.5,2.1,0.4-5.7,0
,,295,5.8,3.4-9.1,5.1,2.9-8.2,,0.3,0-1.9,0,0-1.2,1.4,0.4-3.4,0.7,0.1-2.4,0
,,433,43.9,36-45.4,41.2,33.5-42.9,,2,0.8-3.6,0,0-0.8,6,3.6-8.1,3.2,1.6-5.1,0
,,300,16.7,12.6-21.4,11.3,8-15.5,,4.7,2.6-7.7,0,0-1.2,5.3,3.1-8.5,0,0-1.2,0
,,453,40.2,35.6-44.9,35.6,31.1-40.1,,10.6,7.9-13.8,0.4,0.1-1.6,5.3,3.4-7.8,0.6,0.1-1.9,0
,,307,22.8,18.2-27.9,19.2,15-24.1,,2.3,0.9-4.6,0,0-1.2,5.9,3.5-9.1,2.3,0.9-4.6,0
,,189,46.6,37.2-51.8,42.1,33.2-47.6,,9.4,5.3-14,0,0-1.9,8.3,4.5-12.8,3.9,1.5-7.5,0
,,31,45.2,27.3-64,45.2,27.3-64,,45.2,27.3-64,0,0-11.2,6.5,0.8-21.4,6.5,0.8-21.4,0
,,277,70.4,63.9-75,68.6,62-73.3,,0.7,0.1-2.6,0,0-1.3,5.8,3.3-9.2,4,2-7,0
,,45,0,0-7.9,0,0-7.9,,0,0-7.9,0,0-7.9,0,0-7.9,0,0-7.9,0
,,"2,757",34.2,31.6-35.2,30.7,28.3-31.7,,4.5,3.6-5.2,0.2,0.1-0.5,5.3,4.4-6.1,1.8,1.3-2.3,0
,,121,7.4,3.5-13.7,0,0-3,,0,0-3,0,0-3,7.4,3.5-13.7,0,0-3,0
,,334,1.8,0.5-3.5,1.4,03.-3,,0.4,0-1.7,0,0-1.1,0.4,0-1.7,0,0.1-1,0
