Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 26
Table 11. Presumptive ESBL- and AmpC-producing indicator E. coli isolates from fattening pigs collected within the routine monitoring and subjected to

-- Table 1 (auto-detected) --
,,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
Country,NP1,NP2,AmpC(a),,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)

,,,n,%(h),n,%(h),n,%(h),n,n,%(h),n,%(h),n,%(h),n
Pigs - fattening pigs
Austria,175,2,2,1.1,2,1.1,0,0,0,0,0,0,0,0,0,0
Bulgaria,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,22,1,1,4.5,1,4.5,0,0,0,0,0,0,0,0,0,0
Czechia,178,4,4,2.8,1,0.6,0,0,0,0,3,1.6,0,0,0,0
Denmark,65,1,1,1.5,0,0,0,0,0,0,1,1.5,0,0,0,0
Estonia,143,2,1,0.7,1,0.7,0,0,0,0,0,0,0,0,0,0
France,232,2,2,0.9,1,0.4,0,0,0,0,1,0.4,0,0,0,0
Hungary,170,7,7,4.1,7,4.1,2,1.2,0,0,0,0,0,0,0,0
Latvia,152,2,2,1.3,2,1.3,2,1.3,0,0,0,0,0,0,0,0
Lithuania,100,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Poland,212,4,4,1.9,4,1.9,0,0,1,0.5,0,0,0,0,0,0
Portugal,55,3,3,5.5,3,5.5,0,0,0,0,0,0,0,0,0,0
Romania,169,8,8,4.7,4,2.4,1,0.6,0,0,4,2.4,0,0,0,0
Slovenia,85,2,2,2.4,1,1.2,0,0,0,0,1,1.2,0,0,0,0
Spain,170,2,2,1.2,2,1.2,0,0,0,0,0,0,0,0,0,0
Sweden,173,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Total (16 MSs),2201,44,41,1.9,30,1.4,5,0.2,1,0,11,0.5,0,0,0,0
Iceland,85,1,1,1.2,1,1.2,0,0,1,1.2,0,0,0,0,0,0
