Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 28
Table 12. Presumptive ESBL and AmpC-producing indicator E. coli isolates from bovine animals and calves under 1 year of age collected within the routine

-- Table 1 (auto-detected) --
,,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
Country,NP1,NP2,AmpC(a),,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)

,,,n,%(h),n,%(h),n,%(h),n,n,%(h),n,%(h),n,%(h),n
Cattle (bovine animals) - calves (under 1 year)
Belgium,173,3,2,1.2,2,1.2,1,0.6,0,0,0,0,0,0,0,0
France,181,2,2,1.1,1,0.5,1,0.5,0,0,1,0.5,1,0.5,0,0
Germany,203,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,306,2,2,0.7,2,0.7,1,0.3,0,0,0,0,0,0,0,0
Portugal,53,1,1,1.9,1,1.9,0,0,0,0,0,0,0,0,0,0
Romania,129,1,1,0.8,1,0.8,0,0,0,0,0,0,0,0,0,0
Total (6 MSs),1045,11,8,0.8,7,0.7,3,0.3,0,0,1,0.1,1,0.1,0,0
Norway,288,6,4,1.4,0,0,0,0,0,0,4,1.4,0,0,0,0
Switzerland,180,2,2,1.1,1,0.6,0,0,0,0,1,0.6,0,0,0,0
Meat from bovine animals - fresh
Netherlands,79,1,1,1.3,1,1.3,0,0,0,0,0,0,0,0,0,0
Total (1 MSs),79,1,1,1.3,1,1.3,0,0,0,0,0,0,0,0,0,0
