Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 29
Table 13. Prevalence of presumptive ESBL- and/or AmpC-producing E. coli isolates in meat from pigs collected within the specific ESBLs-/AmpC-

-- Table 1 (auto-detected) --
,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
,,AmpC(a),,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)
Country,Ns
,,,,,,,,,,95%,,95%,,95%
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,%P,,%P,,%P,,%P
,,,,,,,,,,CI,,CI,,CI

Meat from pig - fresh - BCP
Germany,7,0,0-37.2,0,0-37.2,0,0-37.2,0,0-37.2,0,0-37.2,0,0-37.2,0,0-37.2
Ireland,3,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6
Denmark,3,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6
Italy,3,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6
Sweden,3,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6
Total (4 MSs),19,0,0-16.7,0,0-16.7,0,0-16.7,0,0-16.7,0,0-16.7,0,0-16.7,0,0-16.7
Meat from pig - fresh - retail
Austria,318,8.5,5.7-12.1,7.9,5.2-11.4,1.3,0.4-3.4,0,0-1.1,0.6,0.1-2.3,0,0-1.2,0,0-1.2
Belgium,300,2,0.7-4.3,2,0.7-4.3,0.3,0-2.1,0,0-1.2,0.3,0-1.8,0.3,0-1.8,0,0-1.2
Bulgaria,150,14.7,9.4-21.4,13.3,8.3-19.8,6,3-11.4,0.7,0-4.2,1.3,0.2-4.7,0,0-2.4,0,0-2.4
Croatia,139,2.2,0.4-6.2,2.2,0.4-6.2,0.7,0-4.5,0,0-2.6,0,0-2.6,0,0-2.6,0,0-2.6
Czechia*,294,8.2,5.3-11.9,6.5,3.9-9.9,0,0-2.5,0,0-2.5,1.7,0.6-3.9,0,0-1.2,0,0-1.2
Denmark,337,4.7,2.7-7.6,3.6,1.9-6.1,1.2,0.4-3.2,0,0-1.1,1.2,0.3-3,0,0-1.1,0,0-1.1
Estonia,150,12,3.2-18.3,10.8,2.8-11.1,2,0.5-6.2,0,0-2.4,1.2,0-3.7,0,0-2.4,0,0-2.4
France,321,0.9,0.2-2.7,0.6,0.1-2.2,0,0-1.1,0,0-1.1,0.3,0-1.7,0,0-1.1,0,0-1.1
Finland,313,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2
Germany*,466,4.9,3.2-7.3,4.3,2.6-6.6,,,,,0.6,0.1-1.9,0,0-0.8,0,0-0.8
Greece,76,5.3,1.5-12.9,5.3,1.5-12.9,1.3,0.1-8.1,0,0-4.6,0,0-4.7,0,0-4.7,0,0-4.7
Hungary,300,11,7.7-15.1,9.3,6.3-13.2,5,2.9-8.3,0.7,0.1-2.7,1.7,0.5-3.8,0,0-1.2,0.3,0-1.8
Ireland,300,2.7,1.2-5.2,1.7,0.5-3.8,0.3,0-2.1,0,0-1.2,1,0.2-2.9,0,0-1.2,0,0-1.2
Italy*,305,7.5,4.8-11.1,4.9,2.8-8,,,,,2.6,1.1-5.1,0,0-1.2,0,0-1.2
Latvia,150,16,10.5-22.9,15.3,10-22.1,7.3,3.9-13.1,0,0-2.4,1.3,0.2-4.7,0.7,0-3.7,0,0-2.4
Lithuania,150,10.7,6.2-16.7,8,4.2-13.6,2,0.5-6.2,0,0-2.4,2.7,0.7-6.7,0,0-2.4,0,0-2.4
Luxembourg,120,5,1.9-10.6,4.2,1.4-9.5,0.8,0-5.2,0,0-3,0.8,0-4.6,0,0-3,0,0-3
