Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 31
Table 14. Occurrence of presumptive ESBL- and/or AmpC-producing E. coli isolates in meat from pigs (retail) collected within the specific ESBLs-/AmpC-

-- Table 1 (auto-detected) --
,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
Country,NP2,AmpC(a),,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)

,,n,%(h),n,%(h),n,%(h),n,n,%(h),n,%(h),n,%(h),n
Austria,27,27,100,25,92.6,4,14.8,0,0,2,7.4,0,0,0,0
Belgium,6,5,83.3,5,83.3,1,16.7,0,0,0,0,1,16.7,0,0
Bulgaria,22,22,100,20,90.9,9,40.9,1,4.5,2,9.1,0,0,0,0
Croatia,3,3,100,3,100,1,33.3,0,0,0,0,0,0,0,0
Czechia*,24,24,100,19,79.2,,,,,5,20.8,0,0,0,0
Denmark,16,16,100,12,75,4,25,0,0,4,25,0,0,0,0
Estonia,10,10,100,9,90,3,30,0,0,1,10,0,0,0,0
France,3,3,100,2,66.7,0,0,0,0,1,33.3,0,0,0,0
Germany*,23,23,100,20,87,,,,,3,13,0,0,0,0
Greece,4,4,100,4,100,1,25,0,0,0,0,0,0,0,0
Hungary,34,33,97.1,28,82.4,15,44.1,2,5.9,5,14.7,0,0,1,2.9
Ireland,8,8,100,5,62.5,1,12.5,0,0,3,37.5,0,0,0,0
Italy*,23,23,100,15,65.2,,,,,8,34.8,0,0,0,0
Latvia,24,23,95.8,22,91.7,11,45.8,0,0,1,4.2,1,4.2,0,0
Lithuania,16,16,100,12,75,3,18.8,0,0,4,25,0,0,0,0
Luxembourg,6,6,100,5,83.3,1,16.7,0,0,1,16.7,0,0,0,0
Malta,21,19,90.5,17,81,4,19,0,0,2,9.5,2,9.5,0,0
Poland,20,19,95,17,85,4,20,0,0,2,10,0,0,0,0
Portugal,12,10,83.3,9,75,2,16.7,0,0,1,8.3,2,16.7,0,0
Romania,34,34,100,24,70.6,4,11.8,0,0,10,29.4,0,0,0,0
Slovakia,28,28,100,23,82.1,10,35.7,0,0,5,17.9,0,0,0,0
