Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 35
Table 16. Occurrence of presumptive ESBL- and/or AmpC-producing E. coli isolates from fattening pigs collected within the specific ESBLs-/AmpC-

-- Table 1 (auto-detected) --
,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
Country,NP2,AmpC(a),,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)

,,n,%(h),n,%(h),n,%(h),n,n,%(h),n,%(h),n,%(h),n
Austria,189,189,100,179,94.7,31,16.4,1,0.5,10,5.3,0,0,0,0
Belgium,113,112,98.2,91,79.8,26,22.8,1,0.9,21,18.4,0,0,0,0
Bulgaria,59,58,98.3,58,98.3,24,40.7,0,0,0,0,1,1.7,0,0
Croatia,85,82,96.5,72,84.7,30,35.3,0,0,10,11.8,0,0,0,0
Czechia*,152,152,100,97,63.8,,,,,55,36.2,0,0,0,0
Denmark,57,54,94.7,11,19.3,4,7,0,0,43,75.4,0,0,0,0
Estonia,50,50,100,35,70,0,0,0,0,15,30,0,0,0,0
France,40,35,87.5,31,77.5,5,12.5,3,7.5,4,10,3,7.5,0,0
Finland*,20,20,100,2,10,,,,,18,90,0,0,0,0
Germany*,164,164,100,139,84.8,,,,,25,15.24,0,0,0,0
Greece,26,26,100,25,96.2,0,0,0,0,1,3.8,0,0,0,0
Hungary,203,199,98,158,77.8,50,24.6,1,0.5,41,20.2,2,1,0,0
Ireland,117,110,94,69,59,40,34.2,0,0,41,35,3,2.6,0,0
Italy*,243,243,100,188,77.4,,,,,56,23,1,0.4,0,0
Latvia,76,76,100,75,98.7,29,38.2,0,0,1,1.3,0,0,0,0
Lithuania,57,57,100,43,75.4,10,17.5,0,0,14,24.6,0,0,0,0
Luxembourg,92,86,93.5,81,88,29,31.5,0,0,5,5.4,2,2.2,0,0
Malta,34,29,85.3,29,85.3,1,2.9,3,8.8,0,0,5,14.7,0,0
Netherlands,47,47,100,26,55.3,5,10.6,0,0,21,44.7,0,0,0,0
Poland,106,105,99.1,85,80.2,10,9.4,1,0.9,20,18.9,1,0.9,0,0
Portugal,47,43,91.5,38,80.9,6,12.5,1,2.1,5,10.4,4,8.3,0,0
