Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 36
ESBL(b) AmpC(e) ESBL + AmpC(f) CPs(g)

-- Table 1 (auto-detected) --
,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
Country,NP2,AmpC(a),,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)

,,n,%(h),n,%(h),n,%(h),n,n,%(h),n,%(h),n,%(h),n
Romania,167,161,96.4,127,76,25,15,2,1.2,34,20.4,5,3,0,0
Slovakia,87,84,96.6,62,71.3,29,33.3,1,1.1,22,25.3,3,3.4,0,0
Slovenia,88,87,98.9,36,40.9,13,14.8,0,0,51,58,1,1.1,0,0
Spain,327,293,89.6,252,77.1,56,17.1,1,0.3,41,12.5,33,10.1,0,0
Sweden,25,25,100,3,12,0,0,0,0,22,88,0,0,0,0
Total (24 MSs),2135,2049,95.9,1625,76.1,438,20.5,15,0.7,424,19.8,63,2.9,0,0
United Kingdom
,43,41,95.3,39,90.7,15,34.9,0,0,2,4.7,0,0,0,0
(Northern Ireland)

Iceland,14,5,35.7,5,35.7,0,0,5,35.7,0,0,0,0,0,0
Norway,47,47,100,3,6.4,0,0,0,0,44,93.6,0,0,0,0
Switzerland,17,17,100,12,70.6,6,35.3,1,5.9,5,29.4,0,0,0,0
