Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 37
Table 17. Prevalence of presumptive ESBL- and/or AmpC-producing E. coli isolates from bovine meat collected within the specific

-- Table 1 (auto-detected) --
,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
,,AmpC(a),,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)
Country,Ns
,,,,,,,,,,95%,,95%,,95%
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,%P,,%P,,%P,,%P
,,,,,,,,,,CI,,CI,,CI

Meat from bovine animals - fresh - BCP
Italy,62,0,0-5.6,0,0-5.6,0,0-5.6,0,0-5.6,0,0-5.6,0,0-5.6,0,0-5.6
Portugal,21,0,0-15.3,0,0-15.3,0,0-15.3,0,0-15.3,0,0-15.3,0,0-15.3,0,0-15.3
Sweden,18,0,0-17.5,0,0-17.5,0,0-17.5,0,0-17.5,0,0-17.5,0,0-17.5,0,0-17.5
Belgium,3,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6
Denmark,3,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6,0,0-62.6
Finland,1,0,0-92.7,0,0-92.7,0,0-92.7,0,0-92.7,0,0-92.7,0,0-92.7,0,0-92.7
Germany,86,0,0-4.1,0,0-4.1,0,0-4.1,0,0-4.1,0,0-4.1,0,0-4.1,0,0-4.1
Poland,2,0,0-75.2,0,0-75.2,0,0-75.2,0,0-75.2,0,0-75.2,0,0-75.2,0,0-75.2
Spain,36,2.8,0.1-16.2,2.8,0.1-16.2,0,0-9.4,0,0-9.4,0,0-9.4,0,0-9.4,0,0-9.4
Total (8 MSs),232,0.4,0-2.8,0.4,0-2.8,0,0-1.5,0,0-1.5,0,0-1.5,0,0-1.5,0,0-1.5
Meat from bovine animals - fresh - retail
Austria,336,3.3,1.6-5.8,3,1.4-5.4,0.9,0.2-2.8,0,0-1.1,0.3,0-1.6,0,0-1.1,0,0-1.1
Belgium,300,3.3,1.6-6,3.3,1.6-6,0.3,0-2.1,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2
Bulgaria,150,13.3,8.3-19.8,12.7,7.8-19.1,2.7,0.9-7.1,0,0-2.4,0.7,0-3.7,0,0-2.4,0,0-2.4
Croatia,130,3.1,0.8-7.7,2.3,0.5-6.6,1.5,0.3-6,0,0-2.7,0.8,0-4.2,0,0-2.8,0,0-2.8
Cyprus,139,0,0-2.6,0,0-2.6,0,0-2.6,0,0-2.6,0,0-2.6,0,0-2.6,0,0-2.6
Czechia*,298,7.4,4.7-11,5.7,3.4-9,,,,,1.7,0.5-3.9,0,0-1.2,0,0-1.2
Denmark,280,5.4,3-8.7,2.9,1.2-5.6,0.4,0-2.3,0,0-1.3,2.5,1-5.1,0,0-1.3,0,0-1.3
Estonia,150,12,2.3-18.3,9,1.5-15.2,0.7,0-4.2,0,0-2.4,3,0.2-4.7,0,0-2.4,0,0-2.4
France,312,0.3,0-1.8,0,0-1.2,0,0-1.2,0,0-1.2,0.3,0-1.8,0,0-1.2,0,0-1.2
Finland,308,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2
Germany*,418,2.2,1-4,2.2,1-4,,,,,0,0-0.9,0,0-0.9,0,0-0.9
Greece,75,4,0.8-11.2,4,0.8-11.2,0,0-4.7,0,0-4.7,0,0-4.8,0,0-4.8,0,0-4.8
Hungary,300,30.7,25.5-36.2,29,23.9-34.5,12.7,9.2-17.1,0,0-1.2,2,0.7-4.3,0.3,0-1.8,0.7,0.1-2.4
