Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 38
ESBL(b) AmpC(e) ESBL + AmpC(f) CPs(g)

-- Table 1 (auto-detected) --
,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
,,AmpC(a),,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)
Country,Ns
,,,,,,,,,,95%,,95%,,95%
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,%P,,%P,,%P,,%P
,,,,,,,,,,CI,,CI,,CI

Ireland,300,1.7,0.5-3.8,0.3,0-1.8,0,0-1.2,0,0-1.2,1.3,0.4-3.4,0,0-1.2,0,0-1.2
Italy*,301,4.3,2.3-7.3,3.7,1.8-6.4,,,,,0.7,0.1-2.4,0,0-1.2,0,0-1.2
Latvia,150,16.7,11.1-23.6,16,10.5-22.9,8.7,4.9-14.7,0.7,0-4.2,0.7,0-3.7,0,0-2.4,0,0-2.4
Lithuania,150,8.7,4.7-14.4,8.7,4.7-14.4,2,0.5-6.2,0,0-2.4,0,0-2.4,0,0-2.4,0,0-2.4
Luxembourg,67,7.5,2.5-16.6,7.5,2.5-16.6,0,0-5.2,0,0-5.2,0,0-5.4,0,0-5.4,0,0-5.4
Malta,150,12,7.3-18.3,11.3,6.7-17.5,0,0-17.5,0,0-17.5,2,0.4-5.7,1.3,0.2-4.7,0,0-2.4
Poland,307,5.9,3.5-9.1,5.5,3.3-8.7,1.9,0.8-4.4,0.3,0-2.1,0.3,0-1.8,0,0-1.2,0,0-1.2
Portugal,125,6.4,2.8-12.2,6.4,2.8-12.2,0.8,0-5,0,0-2.8,0.8,0-4.4,0.8,0-4.4,0,0-2.9
Romania,150,8,4.2-13.6,8,4.2-13.6,0.7,0-4.2,0,0-2.4,0.7,0-3.7,0.7,0-3.7,0,0-2.4
Slovakia,150,7.3,3.7-12.7,6,2.8-11.1,2,0.5-6.2,0,0-2.4,1.3,0.2-4.7,0,0-2.4,0,0-2.4
Slovenia,152,5.3,2.3-10.1,3.3,1.1-7.5,2,0.5-6.1,0,0-2.3,2,0.4-5.7,0,0-2.4,0,0-2.4
Spain,300,3.7,1.8-6.5,3.3,1.6-6,0.7,0.1-2.7,0,0-1.2,0.3,0-1.8,0,0-1.2,0,0-1.2
Sweden,303,0.3,0-1.8,0.3,0-1.8,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2
Total (25 MSs),5493,7.4,5.6-8.1,6.6,5-7.3,1.8,1.4-2.2,0,0-0.2,0.9,0.6-1.1,0.1,0-0.2,0,0-0.1
Switzerland,307,0,0-33.6,0,0-33.6,0,0-0.6,0,0-0.6,0,0-33.6,0,0-33.6,0,0-33.6
