Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 39
Table 18. Occurrence of presumptive ESBL- and/or AmpC-producing E. coli isolates from bovine meat (retail) collected within the specific

-- Table 1 (auto-detected) --
,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
Country,NP2,AmpC(a),,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)

,,n,%(h),n,%(h),n,%(h),n,n,%(h),n,%(h),n,%(h),n
Austria,11,11,100,10,90.9,3,27.3,0,0,1,9.1,0,0,0,0
Belgium,10,10,100,10,100,1,10,0,0,0,0,0,0,0,0
Bulgaria,20,20,100,19,95,4,20,0,0,1,5,0,0,0,0
Croatia,4,4,100,3,75,2,50,0,0,1,25,0,0,0,0
Czechia*,22,22,100,17,77.3,,,,,5,22.7,0,0,0,0
Denmark,15,15,100,8,53.3,1,6.7,0,0,7,46.7,0,0,0,0
Estonia,8,8,100,6,75,1,12.5,0,0,2,25,0,0,0,0
France,1,1,100,0,0,0,0,0,0,1,100,0,0,0,0
Greece,3,3,100,3,100,0,0,0,0,0,0,0,0,0,0
Germany*,10,9,90,9,90,,,,,0,0,0,0,0,0
Hungary,94,91,96.8,86,91.5,38,40.4,0,0,5,5.3,1,1.1,2,2.1
Ireland,5,5,100,1,20,0,0,0,0,4,80,0,0,0,0
Italy*,13,13,100,11,84.6,,,,,2,15.4,0,0,0,0
Latvia,25,25,100,24,96,13,52,1,4,1,4,0,0,0,0
Lithuania,14,13,92.9,13,92.9,3,21.4,0,0,0,0,0,0,0,0
Luxembourg,5,5,100,5,100,0,0,0,0,0,0,0,0,0,0
Malta,18,16,88.9,15,83.3,0,0,0,0,1,5.6,2,11.1,0,0
Poland,18,18,100,17,94.4,6,33.3,1,5.6,1,5.6,0,0,0,0
Portugal,8,7,87.5,7,87.5,1,12.5,0,0,0,0,1,12.5,0,0
Romania,12,11,91.7,11,91.7,1,8.3,0,0,0,0,1,8.3,0,0
Slovakia,11,11,100,9,81.8,3,27.3,0,0,2,18.2,0,0,0,0
