Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 41
Table 19. Prevalence of presumptive ESBL- and/or AmpC-producing E. coli isolates from cattle under 1 year of age collected within the specific

-- Table 1 (auto-detected) --
,,,,,,ESBL only,,ESBL only
,,ESBL and/or AmpC,,ESBL,,,,,,AmpC,,ESBL + AmpC,,CPs
Country,Ns,,,,,CLA/CTX SYN,,CLA/CAZ SYN

,,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI
Belgium,301,59.1,51.7-62.8,53,45.7-57.3,9.6,6.7-13.7,1,0.3-3.1,7.5,4.6-10.9,1.7,0.5-3.8,0,0-1.2
Croatia,203,44.3,35-49,43.3,34.1-48,13.3,9.1-18.9,0,0-1.8,1.1,0.1-3.5,0,0-1.8,0,0-1.8
Denmark,293,5.8,3.4-9.1,1,0.2-3,0.3,0-2.2,0,0-1.2,4.8,2.6-7.9,0,0-1.3,0,0-1.3
France,281,14.2,10.4-18.9,8.9,5.8-12.9,2.1,0.9-4.8,0,0-1.3,5.7,3.3-9.1,0.4,0-2,0,0-1.3
Germany*,299,64.2,58.5-69.6,63.5,57.8-69,,,,,0.6,0.1-2.4,0,0-1.2,0,0-1.2
Italy*,310,90.3,86.5-93.4,86.8,82.5-90.3,,,,,3.5,1.8-6.3,0,0-1.2,0,0-1.2
Netherlands,306,33.3,28.1-38.9,32.7,27.5-38.2,3.6,1.9-6.5,0,0-1.2,1.6,0.5-3.8,1,0.2-2.8,0,0-1.2
Portugal,99,17.2,8.7-23.8,16,8-22.6,4,1.3-10.6,0,0-3.6,3.4,0.6-8.6,2.3,0.2-7.1,0,0-3.7
Romania,141,22.7,16.1-30.5,21.3,14.8-29,4.3,1.7-9.4,0,0-2.5,2.1,0.4-6.1,0.7,0-3.9,0,0-2.6
Spain,413,43.8,39-48.8,38.5,33.8-43.4,19.1,15.5-23.3,0,0-0.9,9.2,6.6-12.4,3.9,2.2-6.2,0,0-0.9
Sweden,20,10,1.2-31.7,10,1.2-31.7,0,0-16,0,0-16,0,0-16.8,0,0-16.8,0,0-16.8
Total (11 MSs),"2,666",73.1,40.1-74.9,67.4,36.8-,7.9,6.8-9.2,0.1,0-0.5,7.6,3.6-8.7,1.8,0.7-2.4,0,0-0.1
Norway,295,1,0.2-2.9,0,"69.1
0-1.2",0,0-1.2,0,0-1.2,1,0.2-2.9,0,0-1.2,0,0-1.2
Switzerland,294,23.5,18.7-28.7,15.6,11.7-20.3,4.8,2.7-8,0,0-1.2,7.8,5-11.5,0,0-1.2,0,0-1.2
