Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 42
Table 20. Occurrence of presumptive ESBL- and/or AmpC-producing E. coli isolates from cattle under 1 year of age collected within the specific

-- Table 1 (auto-detected) --
,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,ESBL,,,,,,AmpC,,ESBL + AmpC,,CPs
Country,NP2,AmpC,,,,CLA/CTX SYN,,CLA/CAZ SYN

,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Belgium,174,167,96,150,85.7,29,16.6,3,1.7,17,9.8,5,2.9,0,0
Croatia,85,85,100,83,97.6,27,31.8,0,0,2,2.4,0,0,0,0
Denmark,18,17,94.4,3,16.7,1,5.6,0,0,14,77.8,0,0,0,0
France,42,39,92.9,24,57.1,6,14.3,0,0,15,35.7,1,2.4,0,0
Germany*,193,192,99.5,190,98.5,,,,,2,1,0,0,0,0
Italy*,280,280,100,269,96.1,,,,,11,3.9,0,0,0,0
Netherlands,103,99,96.1,97,94.2,11,10.7,0,0,2,1.9,3,2.9,0,0
Portugal,15,13,86.7,12,80,4,26.7,0,0,1,6.7,2,13.3,0,0
Romania,32,31,96.9,29,90.6,6,18.8,0,0,2,6.2,1,3.1,0,0
Spain,181,165,91.2,143,79,79,43.6,0,0,22,12.2,16,8.8,0,0
Sweden,2,2,100,2,100,0,0,0,0,0,0,0,0,0,0
Total (10 MSs),652,618,94.8,543,83.2,163,25,3,0.5,75,11.5,28,4.3,0,0
Norway,3,3,100,0,0,0,0,0,0,3,100,0,0,0,0
Switzerland,70,69,98.6,46,65.7,14,20,0,0,23,32.9,0,0,0,0
