Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 44
Country

-- Table 1 (auto-detected) --
,Animal population/Meat
Country,,,"Fattening pigs,",,"Bovine meat,",,Cattle <1 year,,"Broiler meat,",,,,Fattening
,"Pig meat, 2021",,,,,,,,,,"Broilers, 2020"
,,,2021,,2021,,"old, 2021",,2020,,,,"Turkeys, 2020"

Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malta,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Netherlands,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Poland,310,0,302,0,307,0,-,-,315,0,306,0,307,0
Portugal,102,0,99,0,125,0,99,0,-,-,246,0,164,0
Romania,-,-,-,-,-,-,-,-,-,-,813,3,-,-
Slovakia,150,0,149,0,148,0,-,-,150,0,150,0,-,-
Slovenia,152,0,153,0,152,0,-,-,152,0,153,0,-,-
Spain,-,-,423,2,-,-,413,0,-,-,444,0,277,1
Sweden,296,0,300,0,303,0,20,0,306,0,300,0,45,0
Total (20 MSs),"4,843",1,"5,089",26,"4,688",3,"2,214",5,"4,456",0,"6,088",3,"2,250",1

Norway,-,-,321,0,-,-,295,0,314,0,224,0,106,0
Switzerland,307,0,288,0,307,0,294,0,296,0,612,0,-,-
United Kingdom,-,-,68,0,-,-,-,-,315,0,350,0,334,0
