Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 45
"E. coli, food-producing animals, 2015-2021"

-- Table 1 (auto-detected) --
,Period (a)
Country
,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021

Austria,52.1,59.9,56.4,56.2,52.8,19.2
Belgium,65.8,71.9,68.2,55.6,56,78.8
Bulgaria,64.4,55.3,51.9,55.7,52.2,62.4
Croatia,38.9,46.8,48.1,60.6,58.7,51.4
Cyprus,24.6,22.1,9.4,8.5,7.5,26.9
Czechia,40.5,42.1,37.6,38,34.7,36.0
Denmark,27.3,24,23.9,26,25.2,2.9
Estonia,36.7,35.3,38.2,50.5,48.7,49.1
Finland,6.3,6.3,6.2,6.1,1.6,0.3
France,39.6,32.8,26.6,22.1,16.8,8.7
Germany,47.2,47.5,47,50.1,48,37.9
Greece,54.4,59.1,42.5,42.5,47.4,65.6
Hungary,60.6,67.5,65.8,63.4,53.7,34.6
Ireland,42.3,47.6,40.1,45.6,36.1,16.4
Italy,23.6,88.7,82.3,88.9,75,41.4
Latvia,62.4,60.6,43.6,48.8,51,72.6
Lithuania,49.7,67.9,69.3,55.8,51.8,92.3
Luxembourg,58.9,40.9,40.7,52.3,52.2,26.1
Malta,-,-,45.7,66.9,67.2,99.9
Netherlands,23.7,23.9,19.1,19.5,17.2,9.9
Poland,44.7,51.1,44.5,41.9,34,50.8
Portugal,61.3,56.5,71.4,77.6,65.4,52.6
Romania,60.8,65.6,66,69.4,66.4,80.4
Slovakia,62.1,66.7,35,38.9,72.2,99.9
Slovenia,71.6,79,72.2,75.6,67.5,71.9
Spain,86.4,85.7,85.7,79,73.1,57.1
Sweden,20.7,22,12.3,13.2,12.1,11.3
United Kingdom,27.1,24.8,14.3,13.3,10,4.7
Total (25 MSs + UK),42.9,49.9,46.8,45.2,41.3,-
Iceland,-,5.3,4,6.4,6.6,0.7
Norway,10.9,12.8,9.5,12.7,12.4,0.4
Switzerland,30.3,25.1,21.1,19.6,14.4,10.0
Total (Mss and non-MSs),48.7,49.3,46.2,44.7,40.8,-
