Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 12
Table 2: Presumptive ESBL- and AmpC-producing indicator Escherichia coli isolated from fattening pigs collected within the

-- Table 1 (auto-detected) --
NP1,NP2,"ESBL and/or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
175,2,2,1.1,2,1.1,0,0,0,0,0,0,0,0,0
100,2,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1,4.5,1,4.5,0,0,0,0,0,0,0,0,0
178,4,4,2.2,1,0.6,0,0,0,0,3,1.7,0,0,0
65,1,1,1.5,0,0,0,0,0,0,1,1.5,0,0,0
143,2,1,0.7,1,0.7,0,0,0,0,0,0,0,0,0
232,2,2,0.9,1,0.47,0,0,0,0,1,0.4,0,0,0
170,7,7,4.1,7,4.1,2,1.2,0,0,0,0,0,0,0
170,1,1,0.6,1,0.6,-,-,-,-,0,0,0,0,0
152,2,2,1.3,2,1.3,2,1.3,0,0,0,0,0,0,0
100,1,1,1,1,1,0,0,0,0,0,0,0,0,0
212,4,4,1.9,4,1.9,0,0,1,0.5,0,0,0,0,0
55,3,3,5.5,3,5.5,0,0,0,0,0,0,0,0,0
169,8,8,4.7,4,2.4,1,0.6,0,0,4,2.4,0,0,0
85,2,2,2.4,1,1.2,1,1.2,0,0,1,1.2,0,0,0
170,2,2,1.2,2,1.2,0,0,0,0,0,0,0,0,0
173,1,1,0.6,0,0,0,0,0,0,1,0.6,0,0,0
2 371,45,42,1.8,31,1.3,6,0.3,1,<0.1,11,0.5,0,0,0
85,1,1,1.2,1,1.2,0,0,1,1.2,0,0,0,0,0
