Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 15
Table 4: Prevalence of presumptive ESBL- and/or AmpC-producing Escherichia coli in pig meat at retail collected within

-- Table 1 (auto-detected) --
Ns,"ESBL and or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
318,8.5,5.7 - 12.1,7.9,5.2 - 11.4,1.3,0.3 - 3.2,0,0 - 1.2,0.6,0.1 - 2.3,0,0 - 1.2,0
300,2,0.7 - 4.3,1.7,0.5 - 3.8,0.3,0 - 1.8,0,0 - 1.2,0,0 - 1.2,0.3,0 - 1.8,0
150,14.7,9.4 - 21.4,13.3,8.3 - 19.8,6,2.8 - 11.1,0.7,0 - 3.7,1.3,0.2 - 4.7,0,0 - 2.4,0
139,2.2,0.4 - 6.2,2.2,0.4 - 6.2,0.7,0 - 3.9,0,0 - 2.6,0,0 - 2.6,0,0 - 2.6,0
143,0,0 - 2.5,0,0 - 2.5,0,0 - 2.5,0,0 - 2.5,0,0 - 2.5,0,0 - 2.5,0
294,8.2,5.3 - 11.9,6.5,3.9 - 9.9,-,-,-,-,1.7,0.6 - 3.9,0,0 - 1.2,0
337,4.7,2.7 - 7.6,3.6,1.9 - 6.1,1.2,0.3 - 3,0,0 - 1.1,1.2,0.3 - 3,0,0 - 1.1,0
150,12,7.3 - 18.3,10.8,6.2 - 16.7,3.6,1.1 - 7.6,0,0 - 2.4,1.2,0.2 - 4.7,0,0 - 2.4,0
313,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,0
321,0.9,0.2 - 2.7,0.6,0.1 - 2.2,0,0 - 1.1,0,0 - 1.1,0.3,0 - 1.7,0,0 - 1.1,0
466,5.1,3.3 - 7.6,4.5,2.8 - 6.8,-,-,-,-,0.7,0.1 - 1.9,0,0 - 0.8,0
76,5.3,1.5 - 12.9,5.3,1.5 - 12.9,1.3,0 - 7.1,0,0 - 4.7,0,0 - 4.7,0,0 - 4.7,0
300,11,7.7 - 15.1,9.3,6.3 - 13.2,5,2.8 - 8.1,0.7,0.1 - 2.4,1.7,0.5 - 3.8,0,0 - 1.2,0.3
300,2.7,1.2 - 5.2,1.7,0.5 - 3.8,0.3,0 - 1.8,0,0 - 1.2,1,0.2 - 2.9,0,0 - 1.2,0
305,7.9,5.1 – 11.5,5.1,3 - 8.4,-,-,-,-,2.7,1.1 - 5.1,0,0 - 1.2,0
150,16,10.5 - 22.9,14.7,9.4 - 21.4,7.3,3.7 - 12.7,0,0 - 2.4,0.7,0 - 3.7,0.7,0 - 3.7,0
150,10.7,6.2 - 16.7,8,4.2 - 13.6,2,0.4 - 5.7,0,0 - 2.4,2.7,0.7 - 6.7,0,0 - 2.4,0
120,5,1.9 – 10.6,4.2,1.4 – 9.5,0.8,0 - 4.6,0,0 - 3,0.8,0 - 4.6,0,0 - 3,0
150,14,8.9 - 20.6,11.3,6.7 – 17.5,2.7,0.7 - 6.7,0,0 - 2.4,1.3,0.2 - 4.7,1.3,0.2 - 4.7,0
320,1.6,0.5 – 3.6,1.3,0.3 - 3,0.9,0.2 – 2.7,0,0 – 1.1,0.3,0 – 1.7,0,0 – 1.1,0
310,6.1,3.7 - 9.4,5.5,3.2 - 8.6,1.3,0.4 - 3.3,0,0 - 1.2,0.6,0.1 - 2.3,0,0 - 1.2,0
102,11.8,6.2 - 19.6,8.8,4.1 – 16.1,2,0.2 - 6.9,0,0 - 3.6,1,0 – 5.3,2,0.2 - 6.9,0
300,11.3,8 - 15.5,8,5.2 - 11.7,1.3,0.4 - 3.4,0,0 - 1.2,3.3,1.6 - 6,0,0 - 1.2,0
149,18.8,12.9 - 26,15.4,10 - 22.3,6.7,3.3 - 12,0,0 - 2.4,3.4,1.1 - 7.7,0,0 - 2.4,0
152,13.8,8.8 - 20.3,8.6,4.6 - 14.2,4.6,1.9 - 9.3,0,0 - 2.4,5.3,2.3 - 10.1,0,0 - 2.4,0
