Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 17
Table 5: Occurrence of presumptive ESBL- and/or AmpC-producing Escherichia coli in pig meat at retail collected within

-- Table 1 (auto-detected) --
NP2(a),"ESBL and or
AmpC",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
27,27,100,25,92.6,4,14.8,0,0,2,7.4,0,0,0
6,6,100,5,83.3,1,16.7,0,0,0,0,1,16.7,0
22,22,100,20,90.9,9,40.9,1,4.5,2,9.1,0,0,0
3,3,100,3,100,1,33.3,0,0,0,0,0,0,0
24,24,100,19,79.2,-,-,-,-,5,20.8,0,0,0
16,16,100,12,75,4,25,0,0,4,25,0,0,0
10,10,100,9,90,3,30,0,0,1,10,0,0,0
3,3,100,2,66.7,0,0,0,0,1,33.3,0,0,0
23,23,100,20,87,-,-,-,-,3,13,0,0,0
4,4,100,4,100,1,25,0,0,0,0,0,0,0
34,33,97.1,28,82.4,15,44.1,2,5.9,5,14.7,0,0,1
8,8,100,5,62.5,1,12.5,0,0,3,37.5,0,0,0
23,23,100,15,65.2,-,-,-,-,8,34.8,0,0,0
24,24,100,22,91.7,11,45.8,0,0,1,4.2,1,4.2,0
16,16,100,12,75,3,18.8,0,0,4,25,0,0,0
6,6,100,5,83.3,1,16.7,0,0,1,16.7,0,0,0
21,21,100,17,81,4,19,0,0,2,9.5,2,9.5,0
5,5,100,4,80,3,60,0,0,1,20,0,0,0
20,19,95,17,85,4,20,0,0,2,10,0,0,0
12,12,100,9,75,2,16.7,0,0,1,8.3,2,16.7,0
34,34,100,24,70.6,4,11.8,0,0,10,29.4,0,0,0
28,28,100,23,82.1,10,35.7,0,0,5,17.9,0,0,0
21,21,100,13,61.9,7,33.3,0,0,8,38.1,0,0,0
