Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 19
Table 6: Prevalence of presumptive ESBL- and/or AmpC-producing Escherichia coli in fattening pigs collected within the

-- Table 1 (auto-detected) --
Ns,"ESBL and or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,ESBL + AmpC(f)
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
301,62.8,57.1 - 68.3,59.5,53.7 - 65.1,10.3,7.1 - 14.3,0.3,0 - 1.8,3.3,1.6 - 6,0,0 - 1.2,0
300,39.6,34.1 - 45.4,32.1,26.8 - 37.6,9.3,6.3 - 13.2,0.4,0 - 1.8,7.5,4.7 - 10.9,0,0 - 1.2,0
191,30.9,24.4 - 38,30.4,23.9 - 37.4,12.6,8.2 - 18.1,0,0 - 1.9,0,0 - 1.9,0.5,0 - 2.9,0
261,65.4,59.4 - 71.3,57.4,51.2 - 63.5,23.9,"18.7 -
29.4",0,0 - 1.4,8,5 - 12,0,0 - 1.4,0
302,50.3,44.5 - 56.1,32.1,26.9 - 37.7,-,-,-,-,18.2,14 - 23,0,0 - 1.2,0
272,20.2,15.6 - 25.5,4.1,2 - 7.1,1.5,0.4 - 3.7,0,0 - 1.3,16.1,12 - 21.1,0,0 - 1.3,0
158,31.6,24.5 - 39.5,22.2,15.9 - 29.4,0,0 - 2.3,0,0 - 2.3,9.5,5.4 - 15.2,0,0 - 2.3,0
307,6.5,4 - 9.9,0.7,0.1 - 2.3,-,-,-,-,5.9,3.5 - 9.1,0,0 - 1.2,0
350,10.9,7.8 - 14.6,8.9,6.1 - 12.3,1.4,0.5 - 3.3,0.9,0.2 - 2.5,1.1,0.3 - 2.9,0.9,0.2 - 2.5,0
382,44,38.9 - 49.1,37.3,32.3 - 42.2,-,-,-,-,6.7,4.5 - 9.8,0,0 - 1,0
74,35.1,24.4 - 47.1,33.8,23.2 - 45.7,0,0 - 4.9,0,0 - 4.9,1.4,0 - 7.3,0,0 - 4.9,0
300,67,61.4 - 72.3,52.7,46.8 - 58.4,16.7,"12.6 -
21.4",0.3,0 - 1.8,13.7,10 - 18.1,0.7,0.1 - 2.4,0
300,37.7,32.2 - 43.4,23,18.4 - 28.2,13.3,9.7 - 17.7,0,0 - 1.2,13.7,10 - 18.1,1,0.2 - 2.9,0
301,80.7,75.8 - 85,62.5,56.7 - 67.9,-,-,-,-,18.6,14.4 - 23.5,0.3,0 - 1.8,0
152,50,41.8 - 58.2,49.3,41.1 - 57.6,19.1,"13.2 -
26.2",0,0 - 2.4,0.7,0 - 3.6,0,0 - 2.4,0
150,38,30.2 - 46.3,28.7,21.6 - 36.6,6.7,3.2 - 11.9,0,0 - 2.4,9.3,5.2 - 15.2,0,0 - 2.4,0
206,42.7,35.9 - 49.8,39.3,32.6 - 46.3,14.1,9.6 - 19.6,0,0 - 1.8,2.4,0.8 - 5.6,1,0.1 - 3.5,0
128,26.6,19.1 - 35.1,22.7,15.7 - 30.9,0.8,0 - 4.3,2.3,0.5 - 6.7,0,0 - 2.8,3.9,1.3 - 8.9,0
300,15.7,11.7 – 20.3,8.7,5.7 - 12.4,1.7,0.5 - 3.8,0,0 - 1.2,7,4.4 - 10.5,0,0 - 1.2,0
302,35.1,29.7 - 40.8,28.2,23.1 - 33.6,3.3,1.6 - 6,0.3,0 - 1.8,6.6,4.1 - 10,0.3,0 - 1.8,0
