Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 21
Table 7: Occurrence of presumptive ESBL- and/or AmpC-producing Escherichia coli in fattening pigs collected within the

-- Table 1 (auto-detected) --
NP2(a),"ESBL and or
AmpC",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
189,189,100,179,94.7,31,16.4,1,0.5,10,5.3,0,0,0
113,111,98.2,90,79.6,26,23,1,0.9,21,18.6,0,0,0
59,59,100,58,98.3,24,40.7,0,0,0,0,1,1.7,0
85,82,96.5,72,84.7,30,35.3,0,0,10,11.8,0,0,0
152,152,100,97,63.8,-,-,-,-,55,36.2,0,0,0
57,54,94.7,11,19.3,4,7,0,0,43,75.4,0,0,0
50,50,100,35,70,0,0,0,0,15,30,0,0,0
20,20,100,2,10,-,-,-,-,18,90,0,0,0
40,38,95,31,77.5,5,12.5,3,7.5,4,10,3,7.5,0
164,164,100,139,84.8,-,-,-,-,25,15.2,0,0,0
26,26,100,25,96.2,0,0,0,0,1,3.8,0,0,0
203,201,99,158,77.8,50,24.6,1,0.5,41,20.2,2,1,0
117,113,96.6,69,59,40,34.2,0,0,41,35,3,2.6,0
243,243,100,188,77.4,-,-,-,-,56,23,1,0.4,0
76,76,100,75,98.7,29,38.2,0,0,1,1.3,0,0,0
57,57,100,43,75.4,10,17.5,0,0,14,24.6,0,0,0
92,88,95.7,81,88,29,31.5,0,0,5,5.4,2,2.2,0
34,34,100,29,85.3,1,2.9,3,8.8,0,0,5,14.7,0
47,47,100,26,55.3,5,10.6,0,0,21,44.7,0,0,0
106,106,100,85,80.2,10,9.4,1,0.9,20,18.9,1,0.9,0
47,47,100,38,80.9,6,12.8,1,2.1,5,10.6,4,8.5,0
167,166,99.4,127,76,25,15,2,1.2,34,20.4,5,3,0
87,87,100,62,71.3,29,33.3,1,1.1,22,25.3,3,3.4,0
