Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 23
Table 8: Prevalence of presumptive ESBL- and/or AmpC-producing Escherichia coli in cattle meat collected within the specific monitoring of

-- Table 1 (auto-detected) --
Ns,"ESBL and or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,%P,95% CI,%P,95% CI,%P,95% CI,%P,"95%
CI",%P,95% CI,%P,95% CI,%P
336,3.3,1.6 - 5.8,3,1.4 - 5.4,0.9,0.2 - 2.6,0,0 - 1.1,0.3,0 - 1.6,0,0 - 1.1,0
300,3.3,1.6 - 6,3.3,1.6 - 6,0.3,0 - 1.8,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,0
150,13.3,8.3 - 19.8,12.7,7.8 - 19.1,2.7,0.7 - 6.7,0,0 - 2.4,0.7,0 - 3.7,0,0 - 2.4,0
130,3.1,0.8 - 7.7,2.3,0.5 - 6.6,1.5,0.2 - 5.4,0,0 - 2.8,0.8,0 - 4.2,0,0 - 2.8,0
139,0,0 - 2.6,0,0 - 2.6,0,0 - 2.6,0,0 - 2.6,0,0 - 2.6,0,0 - 2.6,0
298,7.4,4.7 - 11,5.7,3.4 - 9,-,-,-,-,1.7,0.5 - 3.9,0,0 - 1.2,0
280,5.4,3 - 8.7,2.9,1.2 - 5.6,0.4,0 - 2,0,0 - 1.3,2.5,1 - 5.1,0,0 - 1.3,0
150,12,7.3 - 18.3,9,5.2 - 15.2,1.5,0.2 - 4.7,0,0 - 2.4,3,0.7 - 6.7,0,0 - 2.4,0
308,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,0
312,0.3,0 - 1.8,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,0.3,0 - 1.8,0,0 - 1.2,0
418,2.2,1 - 4,2.2,1 - 4,-,-,-,-,0,0 - 0.9,0,0 - 0.9,0
75,4,0.8 - 11.2,4,0.8 - 11.2,0,0 - 4.8,0,0 - 4.8,0,0 - 4.8,0,0 - 4.8,0
300,30.7,25.5 - 36.2,28.7,23.6 - 34.1,12.7,9.1 - 17,0,0 - 1.2,1.7,0.5 - 3.9,0.3,0 - 1.8,0.7
300,1.7,0.5 - 3.8,0.3,0 - 1.8,0,0 - 1.2,0,0 - 1.2,1.3,0.4 - 3.4,0,0 - 1.2,0
301,4.3,2.3 - 7.3,3.7,1.8 – 6.4,-,-,-,-,0.7,0.1 - 2.4,0,0 - 1.2,0
150,16.7,11.1 - 23.6,16,10.5 - 22.9,8.7,4.7 - 14.4,0.7,0 - 3.7,0.7,0 - 3.7,0,0 - 2.4,0
150,8.7,4.7 - 14.4,8.7,4.7 - 14.4,2,0.4 - 5.7,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4,0
67,7.5,2.5 - 16.6,7.5,2.5 - 16.6,0,0 - 5.4,0,0 - 5.4,0,0 - 5.4,0,0 - 5.4,0
150,12,7.3 - 18.3,10,5.7 - 16,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4,1.3,0.2 - 4.7,0
583,2.4,1.3 - 4,2.1,1.1 - 3.6,0.2,0 - 1,0,0 - 0.6,0.3,0 - 1.2,0,0 - 0.6,0
307,5.9,3.5 - 9.1,5.5,3.3 - 8.7,2,0.7 - 4.2,0.3,0 - 1.8,0.3,0 - 1.8,0,0 - 1.2,0
125,6.4,2.8 - 12.2,5.6,2.3 - 11.2,0.8,0 - 4.4,0,0 - 2.9,0,0 - 2.9,0.8,0 - 4.4,0
150,8,4.2 - 13.6,7.3,3.7 - 12.7,0.7,0 - 3.7,0,0 - 2.4,0,0 - 2.4,0.7,0 - 3.7,0
