Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 25
Table 9: Occurrence of presumptive ESBL- and/or AmpC-producing Escherichia coli in cattle meat collected at retail within

-- Table 1 (auto-detected) --
NP2(a),"ESBL and or
AmpC",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
11,11,100,10,90.9,3,27.3,0,0,1,9.1,0,0,0
10,10,100,10,100,1,10,0,0,0,0,0,0,0
20,20,100,19,95,4,20,0,0,1,5,0,0,0
4,4,100,3,75,2,50,0,0,1,25,0,0,0
22,22,100,17,77.3,-,-,-,-,5,22.7,0,0,0
15,15,100,8,53.3,1,6.7,0,0,7,46.7,0,0,0
8,8,100,6,75,1,12.5,0,0,2,25,0,0,0
1,1,100,0,0,0,0,0,0,1,100,0,0,0
10,9,90,9,90,-,-,-,-,0,0,0,0,0
3,3,100,3,100,0,0,0,0,0,0,0,0,0
94,92,97.9,86,91.5,38,40.4,0,0,5,5.3,1,1.1,2
5,5,100,1,20,0,0,0,0,4,80,0,0,0
13,13,100,11,84.6,-,-,-,-,2,15.4,0,0,0
25,25,100,24,96,13,52,1,4,1,4,0,0,0
14,13,92.9,13,92.9,3,21.4,0,0,0,0,0,0,0
5,5,100,5,100,0,0,0,0,0,0,0,0,0
18,18,100,15,83.3,0,0,0,0,1,5.6,2,11.1,0
14,14,100,12,85.7,1,7.1,0,0,2,14.3,0,0,0
18,18,100,17,94.4,6,33.3,1,5.6,1,5.6,0,0,0
8,8,100,7,87.5,1,12.5,0,0,0,0,1,12.5,0
12,12,100,11,91.7,1,8.3,0,0,0,0,1,8.3,0
11,11,100,9,81.8,3,27.3,0,0,2,18.2,0,0,0
