Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 27
Table 10: Prevalence of presumptive ESBL- and/or AmpC-producing Escherichia coli in cattle under one year of age

-- Table 1 (auto-detected) --
Ns,"ESBL and or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
301,59.1,53.3 - 64.7,51.6,45.7 - 57.3,10,6.8 - 13.9,1,0.2 - 2.9,5.8,3.6 - 9.2,1.7,0.5 - 3.8,0
203,44.3,37.4 - 51.5,43.3,36.4 - 50.5,14.1,9.8 - 19.9,0,0 - 1.8,1,0.1 - 3.5,0,0 - 1.8,0
293,5.8,3.4 - 9.1,1,0.2 - 3,0.3,0 - 1.9,0,0 - 1.3,4.8,2.6 - 7.9,0,0 - 1.3,0
281,14.2,10.4 - 18.9,8.5,5.5 - 12.4,2.1,0.8 - 4.6,0,0 - 1.3,5.3,3 - 8.7,0.4,0 - 2,0
299,65.2,59.5 - 70.6,64.5,58.8 - 70,-,-,-,-,0.7,0.1 - 2.4,0,0 - 1.2,0
310,90.3,86.5 - 93.4,86.8,82.5 - 90.3,-,-,-,-,3.5,1.8 - 6.3,0,0 - 1.2,0
306,33.3,28.1 - 38.9,31.7,26.5 - 37.2,3.5,1.8 - 6.3,0,0 - 1.2,0.7,0.1 - 2.3,1,0.2 - 2.8,0
99,17.2,10.3 - 26.1,13.7,8 - 22.6,4.6,1.7 - 11.4,0,0 - 3.7,1.1,0 - 5.5,2.3,0.2 - 7.1,0
141,22.7,16.1 - 30.5,20.6,14.2 - 28.2,4.3,1.6 - 9,0,0 - 2.6,1.4,0.2 - 5,0.7,0 - 3.9,0
413,43.8,39 - 48.8,34.6,30 - 39.4,19.1,15.4 - 23.3,0,0 - 0.9,5.3,3.4 - 8,3.9,2.2 - 6.2,0
20,10,1.2 - 31.7,10,1.2 - 31.7,0,0 - 16.8,0,0 - 16.8,0,0 - 16.8,0,0 - 16.8,0
2 666,42.5,40.6 - 44.4,38,36.2 – 39.9,6.2,5.3 - 7.2,0.1,0 - 0.3,3.4,2.7 – 4.1,1.1,0.7 - 1.5,0
295,1,0.2 - 2.9,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,1,0.2 - 2.9,0,0 - 1.2,0
294,23.5,18.7 - 28.7,15.6,11.7 - 20.3,4.8,2.6 - 7.9,0,0 - 1.2,7.8,5 - 11.5,0,0 - 1.2,0
