Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 30
"Table 12: Presumptive ESBL- and AmpC-producing Salmonella spp. isolates from broilers, laying hens and imported broiler"

-- Table 1 (auto-detected) --
NP1,NP2(a),"ESBL and
or AmpC",,ESBL (b),,"ESBL only
CLA/CTX
SYN (c)",,"ESBL only
CLA/CAZ
SYN (d)",,AmpC (e),,"ESBL +
AmpC (f)"
,,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n

-- Table 2 (auto-detected) --
174,2,2,1.1,2,1.1,-,-,-,-,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
176,4,2,1.1,2,1.1,0,0,0,0,0,0,0,0,0

-- Table 3 (auto-detected) --
170,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,21,21,11.1,21,11.1,-,-,-,-,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,4,19,4,19,0,0,0,0,0,0,0,0,0
167,1,1,0.6,1,0.6,0,0,0,0,0,0,0,0,0
552,31,26,4.7,26,4.7,0,0,0,0,0,0,0,0,0

-- Table 4 (auto-detected) --
184,15,15,8.2,15,8.2,-,-,-,-,0,0,0,0,0
184,15,15,8.2,15,8.2,-,-,-,-,0,0,0,0,0

-- Table 5 (auto-detected) --
5,2,2,40,0,0,-,-,-,-,2,40,0,0,0
8,5,5,62.5,0,0,0,0,0,0,5,62.5,0,0,0
32,27,27,84.4,2,6.3,-,-,-,-,25,78.1,0,0,0
12,8,8,66.7,2,16.7,0,0,0,0,6,50,0,0,0
57,42,42,73.7,4,7,0,0,0,0,38,66.7,0,0,0
