Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 32
Table 13: Presumptive ESBL and AmpC producing indicator Escherichia coli isolates from broiler flocks collected within the

-- Table 1 (auto-detected) --
NP1,NP2,"ESBL and or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
168,6,6,3.6,5,3,0,0,1,0.6,0,0,1,0.6,0
110,11,7,6.4,6,5.5,1,0.9,1,0.9,1,0.9,0,0,0
195,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,7,3,2,1,0.7,0,0,0,0,0,0,2,1.3,0
274,6,3,1.1,3,0.9,-,-,-,-,0,0,0,0,0
121,1,1,0.8,0,0,0,0,0,0,1,0.8,0,0,0
170,1,1,0.6,1,0.6,0,0,0,0,0,0,0,0,0
170,1,1,0.6,0,0,0,0,0,0,1,0.6,0,0,0
127,9,8,6.3,8,6.3,2,1.6,0,0,0,0,0,0,0
300,1,1,0.3,1,0.3,-,-,-,-,0,0,0,0,0
184,9,7,3.8,7,3.8,2,1.1,0,0,0,0,0,0,0
170,2,2,1.2,2,1.2,0,0,0,0,0,0,0,0,0
170,7,7,4.1,5,2.9,1,0.6,0,0,2,1.2,0,0,0
170,1,1,0.6,0,0,0,0,0,0,1,0.6,0,0,0
2 478,63,48,1.9,39,1.6,6,0.2,2,0.1,6,0.2,3,0.1,0
229,1,1,0.4,1,0.4,0,0,0,0,0,0,0,0,0
