Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 35
Table 15: Prevalence of presumptive ESBL- and AmpC-producing Escherichia coli isolates from broiler meat collected within

-- Table 1 (auto-detected) --
Ns,"ESBL and or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX SYN(c)",,"ESBL only
CLA/CAZ SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
338,24.3,19.8 - 29.2,17.2,13.3 – 21.6,5.9,3.7 - 9,3.3,1.6 - 5.7,6.5,4.1 – 9.7,0.6,0.1 - 2.1,0
312,56.7,51 - 62.3,54.2,48.5 - 59.8,2.6,1.1 - 5,2.2,0.9 - 4.6,1.6,0.5 – 3.7,1.0,0.2 - 2.8,0
150,43.3,35.3 - 51.7,24.7,18 - 32.4,2.7,0.7 - 6.7,1.3,0.2 - 4.7,14.7,9.4 – 21.4,4,1.5 - 8.5,0
131,31.3,23.5 - 40,26,18.7 - 34.3,6.1,2.7 - 11.7,0,0 - 2.8,5.3,2.2 - 10.7,0,0 - 2.8,0
152,30.3,23.1 - 38.2,25.7,18.9 - 33.4,3.9,1.5 - 8.4,0,0 - 2.4,2,0.4 - 5.7,2.6,0.7 - 6.6,0
296,28,23 - 33.5,23.3,18.6 - 28.6,-,-,-,-,5.1,2.9 - 8.2,0.3,0 - 1.9,0
352,3.4,1.8 - 5.9,2.3,1 - 4.4,0.3,0 - 1.6,0.3,0 - 1.6,1.1,0.3 - 2.9,0,0 - 1,0
148,44.6,36.4 - 53,26.8,20.1 - 34.9,10.3,5.8 - 16.2,0,0 - 2.5,13.7,8.5 - 20.1,4.1,1.5 - 8.6,0
300,1.7,0.5 - 3.8,1.7,0.5 - 3.8,-,-,-,-,0,0 - 1.2,0,0 - 1.2,0
323,9.3,6.4 - 13,5.3,3.1 - 8.3,1.2,0.3 – 3.1,0.2,0 - 1.7,3.7,1.9 - 6.4,0.2,0 - 1.7,0
467,33,28.7 - 37.4,31.2,27.1 - 35.7,-,-,-,-,1.8,0.7 - 3.3,0,0 - 0.8,0
300,61.3,55.6 - 66.9,46.7,40.9 - 52.5,21.7,17.1 - 26.8,0.6,0.1 - 2.4,11.7,8.3 - 15.9,3,1.4 - 5.6,0
300,8,5.2 - 11.7,7,4.4 - 10.5,1.3,0.4 - 3.4,0.7,0.1 - 2.4,1,0.2 - 2.9,0,0 - 1.2,0
302,40.1,34.5 - 45.8,28.5,23.5 - 33.9,-,-,-,-,14.6,10.8 - 19.1,3,1.4 - 5.6,0
151,37.7,30 - 46,19.9,13.8 - 27.1,4.6,1.9 - 9.3,0,0 - 2.4,17.9,12.1 - 24.9,0,0 - 2.4,0
150,8.7,4.7 - 14.4,5.3,2.3 - 10.2,0.7,0 - 3.7,0,0 - 2.4,3.3,1.1 - 7.6,0,0 - 2.4,0
57,45.6,32.4 - 59.3,43.9,30.7 - 57.6,1.8,0 - 9.4,10.5,4 - 21.5,1.8,0 - 9.4,0,0 - 6.3,0
150,34.7,27.1 - 42.9,31.3,24 - 39.4,6,2.8 - 11.1,1.3,0.2 - 4.7,2,0.4 - 5.7,1.3,0.2 - 4.7,0
187,13.4,8.8 - 19.1,12.3,8 - 17.9,-,-,-,-,1.1,0.1 - 3.8,0,0 - 2,0
305,34.8,34.2 - 43.9,24.9,23 - 31.9,8.9,6.3 - 12.2,0,0 - 0.9,8.9,8.1 – 14.4,1,0.2 - 2.2,0
218,27.1,21.3 - 33.5,24.3,18.8 - 30.6,2.8,1 - 5.9,0,0 - 1.7,1.4,0.3 - 4,1.4,0.3 - 4,0
303,39.6,34.1 - 45.4,24.8,20 - 30,3.6,1.8 - 6.4,0,0 - 1.2,14.2,10.5 - 18.6,0.7,0.1 - 2.4,0
150,50.6,42.4 - 58.9,41.9,34 - 50.3,21.6,15.1 - 28.8,0,0 - 2.4,8.1,4.2 - 13.6,0.7,0 - 3.7,0
