Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 37
Table 16: Occurrence of presumptive ESBL- and AmpC-producing Escherichia coli isolates from broiler meat collected

-- Table 1 (auto-detected) --
NP2(a),"ESBL and or
AmpC",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
86,82,95.3,58,67.4,20,23.3,11,12.8,22,25.6,2,2.3,0
182,177,97.3,169,92.9,8,4.4,8,4.4,5,2.7,3,1.6,0
65,65,100,37,56.9,4,6.2,2,3.1,22,33.8,6,9.2,0
41,41,100,34,82.9,8,19.5,0,0,7,17.1,0,0,0
46,46,100,39,84.8,6,13,0,0,3,6.5,4,8.7,0
83,83,100,69,83.1,-,-,-,-,15,18.1,1,1.2,0
12,12,100,8,66.7,1,8.3,1,8.3,4,33.3,0,0,0
66,65,98.5,39,59.1,15,22.7,0,0,20,30.3,6,9.1,0
5,5,100,5,100,-,-,-,-,0,0,0,0,0
31,30,96.8,17,54.8,4,12.9,1,3.2,12,38.7,1,3.2,0
148,148,100,140,94.6,-,-,-,-,8,5.4,0,0,0
186,184,98.9,140,75.3,65,34.9,2,1.1,35,18.8,9,4.8,0
25,24,96,21,84,4,16,2,8,3,12,0,0,0
126,121,96,86,68.3,-,-,-,-,44,34.9,9,7.1,0
59,57,96.6,30,50.8,7,11.9,0,0,27,45.8,0,0,0
13,13,100,8,61.5,1,7.7,0,0,5,38.5,0,0,0
26,26,100,25,96.2,1,3.8,6,23.1,1,3.8,0,0,0
52,52,100,47,90.4,9,17.3,2,3.8,3,5.8,2,3.8,0
27,25,92.6,23,85.2,-,-,-,-,2,7.4,0,0,0
161,157,97.5,110,68.3,36,22.4,0,0,44,27.3,3,1.9,0
59,59,100,53,89.8,6,10.2,0,0,3,5.1,3,5.1,0
120,120,100,75,62.5,11,9.2,0,0,43,35.8,2,1.7,0
80,75,93.8,62,77.5,32,40,0,0,12,15,1,1.2,0
51,50,98,37,72.5,16,31.4,4,7.8,13,25.5,0,0,0
