Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 39
Table 17: Prevalence of presumptive ESBL- and AmpC-producing Escherichia coli isolates from broilers collected within the

-- Table 1 (auto-detected) --
Ns,"ESBL and or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,%P,95% CI,%P,95% CI,%P,95% CI,"%
P",95% CI,%P,95% CI,"%
P","95%
CI","%
P"
301,10.6,7.4 - 14.7,9.6,6.5 - 13.5,2.3,0.9 - 4.7,2.7,1.2 - 5.2,0.7,0.1 - 2.4,0.3,0 - 1.8,0.7
248,72.1,66.2 - 77.7,67.2,61.1 - 73.1,6.2,3.4 - 9.8,5.8,3.1 - 9.3,1.7,0.4 - 4.1,3.3,"1.4 -
6.3",0
456,62.7,58.1 - 67.2,46.9,42.3 - 51.6,1.1,0.4 - 2.5,0.9,0.2 - 2.2,11.8,9 - 15.2,3.9,"2.4 -
6.2",0.2
144,59.7,51.2 - 67.8,47.9,39.5 - 56.4,18.8,"12.7 -
26.1",0,0 - 2.5,11.8,7 - 18.2,0,0 - 2.5,0
154,20.8,14.7 - 28,16.2,10.8 - 23,3.2,1.1 - 7.4,0,0 - 2.4,2,0.4 - 5.6,2.6,"0.7 -
6.5",0
293,36.9,31.3 - 42.7,28.3,23.2 - 33.9,-,-,-,-,8.9,5.9 - 12.7,0.3,0 - 1.9,0
697,1.3,0.6 - 2.4,0.7,0.2 - 1.7,0.4,0.1 - 1.3,0,0 - 0.5,0.6,0.2 - 1.5,0,0 - 0.5,0
150,56,47.7 - 64.1,42,34 – 50.3,0.7,0 - 3.7,1.3,0.2 - 4.7,9.3,5.2 - 15.2,4.7,"1.9 -
9.4",0
301,1.3,0.4 - 3.4,1.3,0.4 - 3.4,-,-,-,-,0,0 - 1.2,0,0 - 1.2,0
406,8.9,6.3 - 12.1,6.9,4.6 - 9.8,0.7,0.2 - 2.1,0.2,0 - 1.4,1.7,0.7 - 3.5,0.2,0 - 1.4,0
333,41.1,34.6 – 45.4,40.2,34.9 - 45.7,-,-,-,-,0.9,0.2 - 2.6,0,0 - 1.1,0
300,62,56.2 - 67.5,50.3,44.5 - 56.1,21.7,"17.1 -
26.8",0,0 - 1.2,9.3,6.3 - 13.2,2.3,"0.9 -
4.7",0
300,9,6 - 12.8,6.3,3.9 - 9.7,1.7,0.5 - 3.8,0.3,0 - 1.8,2.7,1.2 - 5.2,0,0 - 1.2,0
479,46.8,42.2 - 51.3,29.2,25.2 - 33.5,-,-,-,-,18,"14.6 -
21.7",0.4,"0.1 -
1.5",0.2
150,38,30.2 - 46.3,9.3,5.2 - 15.2,0.7,0 - 3.7,0.7,0 - 3.7,28,21 - 35.9,0.7,0 - 3.7,0
150,60.7,52.4 - 68.5,39.3,31.5 - 47.6,7.3,3.7 - 12.7,0,0 - 2.4,20.7,14.5 - 28,0.7,0 - 3.7,0
45,17.8,8 - 32.1,17.8,8 - 32.1,0,0 - 7.9,0,0 - 7.9,0,0 - 7.9,0,0 - 7.9,0
126,46.8,37.9 - 55.9,41.9,33.3 - 51.2,4.1,1.3 - 9,0.8,0 - 4.3,4.1,1.3 - 9,0.8,0 - 4.3,0
300,15.7,11.7 - 20.3,13,9.4 - 17.3,-,-,-,-,2.7,1.2 - 5.2,0,0 - 1.2,0
