Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 41
Table 18: Occurrence of presumptive ESBL- and AmpC-producing Escherichia coli isolates from broilers collected within the

-- Table 1 (auto-detected) --
NP2(a),"ESBL and or
AmpC",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
37,32,86.5,29,78.4,7,18.9,8,21.6,2,5.4,1,2.7,2
182,175,96.2,163,89.6,15,8.2,15,7.7,4,2.2,8,4.4,0
288,286,99.3,214,74.3,5,1.7,4,1.4,54,18.8,18,6.3,1
86,86,100,69,80.2,27,31.4,0,0,17,19.8,0,0,0
32,32,100,25,78.1,5,15.6,0,0,3,9.4,4,1.3,0
108,108,100,83,76.9,-,-,-,-,26,24.1,1,0.9,0
9,9,100,5,55.6,3,33.3,0,0,4,44.4,0,0,0
84,84,100,63,75,1,1.2,2,2.4,14,16.7,7,8.3,0
4,4,100,4,100,-,-,-,-,0,0,0,0,0
38,36,94.7,28,73.7,3,7.9,1,2.6,7,18.4,1,2.6,0
133,133,100,130,97.7,-,-,-,-,3,2.3,0,0,0
186,186,100,151,81.2,65,34.9,0,0,28,15.1,7,3.8,0
28,27,96.4,19,67.9,5,17.9,1,3.6,8,28.6,0,0,0
231,224,97,140,60.6,-,-,-,-,86,37.2,2,0.9,1
57,57,100,14,24.6,1,1.8,1,1.8,42,73.7,1,1.8,0
94,91,96.8,59,62.8,11,11.7,0,0,31,33,1,1.1,0
8,8,100,8,100,0,0,0,0,0,0,0,0,0
57,57,100,51,89.5,5,8.8,1,1.8,5,8.8,1,1.8,0
47,47,100,39,83,-,-,-,-,8,17,0,0,0
121,120,99.2,79,65.3,16,13.2,0,0,35,28,6,5,0
181,181,100,169,93.4,21,11.6,0,0,0,0,12,6.6,0
331,330,99.7,218,65.9,59,17.8,1,0.3,98,29.6,14,4.2,0
