Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 43
Table 19: Prevalence of presumptive ESBL- and AmpC-producing Escherichia coli isolates from turkey meat collected within

-- Table 1 (auto-detected) --
Ns,"ESBL and or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,%P,95% CI,%P,95% CI,"%
P",95% CI,"%
P",95% CI,"%
P",95% CI,"%
P",95% CI,"%
P"
181,40.9,33.6 - 48.4,31.5,24.8 - 38.8,3.3,1.2 - 7.1,0,0 - 2,7.2,3.9 - 12,2.2,0.6 - 5.6,0
156,21.7,15.6 - 29.1,18.5,12.8 - 25.6,4.6,1.8 - 9,0,0 - 2.3,2.6,0.7 - 6.4,0.7,0 - 3.5,0
110,10,5.1 - 17.2,9.1,4.4 - 16.1,1.8,0.2 - 6.4,0,0 - 3.3,0.9,0 - 5,0,0 - 3.3,0
152,17.1,11.5 - 24,14.5,9.3 - 21.1,-,-,-,-,2.6,0.7 - 6.6,0,0 - 2.4,0
113,52.2,42.6 - 61.7,46.9,37.5 – 56.5,4.4,1.5 - 10,0,0 - 3.2,2.7,0.6 – 7.6,2.7,0.6 - 7.6,0
151,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4,0
321,7.2,4.6 - 10.6,4.7,2.6 - 7.6,0.6,0.1 - 2.2,0,0 - 1.1,2.5,1.1 – 4.9,0,0 - 1.1,0
439,35.1,30.6 - 39.7,32.1,27.8 - 36.7,-,-,-,-,3,1.6 - 5,0,0 - 0.8,0
150,24,17.4 - 31.6,20,13.9 - 27.3,6.7,3.2 - 11.9,0,0 - 2.4,4,1.5 - 8.5,0,0 - 2.4,0
150,32.7,25.2 - 40.8,30,22.8 - 38,7.3,3.7 - 12.7,0,0 - 2.4,2.7,0.7 - 6.7,0,0 - 2.4,0
294,18.7,14.4 - 23.6,17.7,13.5 - 22.5,-,-,-,-,3.1,1.4 - 5.7,2,0.8 - 4.4,0
149,22.8,16.3 - 30.4,22.2,15.8 - 29.7,0,0 - 2.4,0,0 - 2.4,0.7,0 - 3.7,0,0 - 2.4,0
150,5.3,2.3 - 10.2,5.3,2.3 - 10.2,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4,0
23,21.7,7.5 - 43.7,17.4,5 - 38.8,0,0 - 14.8,0,0 - 14.8,4.4,0.1 - 22,0,0 - 14.8,0
45,2.2,0.1 - 11.8,2.2,0.1 - 11.8,0,0 - 7.9,0,0 - 7.9,0,0 - 7.9,0,0 - 7.9,0
305,25.2,20.5 - 30.5,23,18.4 - 28.1,2.6,1.1 - 5.1,0,0 - 1.2,2,0.7 - 4.3,0.3,0 - 1.8,0
218,27.5,21.7 - 34,22.9,17.5 - 29.1,5,2.5 - 8.8,0.5,0 - 2.5,0.9,0.1 - 3.3,3.7,1.6 - 7.1,0
150,13.3,8.3 - 19.8,9.3,5.2 - 15.2,1.3,0.2 - 4.7,0,0 - 2.4,2.7,0.7 – 6.7,1.3,0.2 - 4.7,0
149,33.6,26 - 41.7,27.5,20.5 - 35.4,8.7,4.7 - 14.5,0,0 - 2.4,4.7,1.9 – 9.4,1.3,0.2 - 4.8,0
153,30.7,23.5 - 38.7,27.5,20.6 - 35.2,5.9,2.7 - 10.9,0,0 - 2.4,3.3,1.1 - 7.5,0,0 - 2.4,0
150,64,55.8 - 71.7,58,49.7 - 66,5.3,2.3 - 10.2,1.3,0.2 - 4.7,0.7,0 – 3.7,5.3,2.3 - 10.2,0
