Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 45
Table 20: Occurrence of presumptive ESBL- and AmpC-producing Escherichia coli isolates from turkey meat collected within

-- Table 1 (auto-detected) --
NP2(a),"ESBL and or
AmpC",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
74,74,100,57,77,6,8.1,0,0,13,17.6,4,5.4,0
36,33,91.7,28,77.8,7,19.4,0,0,4,11.1,1,2.8,0
11,11,100,10,90.9,2,18.2,0,0,1,9.1,0,0,0
26,26,100,22,84.6,-,-,-,-,4,15.4,0,0,0
59,59,100,53,89.8,5,8.5,0,0,3,5.1,3,5.1,0
24,23,95.8,15,62.5,2,8.3,0,0,8,33.3,0,0,0
151,151,100,138,91.4,-,-,-,-,13,8.6,0,0,0
36,36,100,30,83.3,10,27.8,0,0,6,16.7,0,0,0
56,55,98.2,52,92.9,-,-,-,-,9,16.1,6,10.7,0
50,49,98,45,90,11,22,0,0,4,8,0,0,0
35,34,97.1,33,94.3,0,0,0,0,1,2.9,0,0,0
8,8,100,8,100,0,0,0,0,0,0,0,0,0
5,5,100,4,80,0,0,0,0,1,20,0,0,0
1,1,100,1,100,0,0,0,0,0,0,0,0,0
77,77,100,70,90.9,8,10.4,0,0,6,7.8,1,1.3,0
60,60,100,50,83.3,11,18.3,1,1.7,2,3.3,8,13.3,0
20,20,100,15,70,2,10,0,0,4,20,2,10,0
51,50,98,41,80.4,13,25.5,0,0,7,13.7,2,3.9,0
47,47,100,42,89.4,9,19.1,0,0,5,10.6,0,0,0
96,96,100,87,90.6,8,8.3,2,2.1,1,1,8,8.3,0
923,915,99.1,800,86.7,94,10.2,3,0.3,92,10,35,3.8,0
