Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 47
Table 21: Prevalence of presumptive ESBL- and AmpC-producing Escherichia coli isolates from fattening turkeys collected

-- Table 1 (auto-detected) --
Ns,ESBL and or AmpC(a),,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,ESBL + AmpC(f)
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
141,17.7,11.8 - 25.1,16.3,10.6 - 23.5,2.8,0.8 - 7.1,0,0 - 2.6,1.4,0.2 - 5,0,0 - 2.6,0
94,11.7,6 - 20,10.6,5.2 - 18.7,2.1,0.3 - 7.5,0,0 - 3.8,1.1,0 - 5.8,0,0 - 3.8,0
420,1.9,0.8 - 3.7,1.2,0.4 - 2.8,0.5,0.1 - 1.7,0,0 - 0.9,0.7,0.1 - 2.1,0,0 - 0.9,0
351,39,33.9 - 44.4,36.1,31.1 - 41.5,-,-,-,-,2.9,1.4 - 5.2,0,0 - 1,0
300,19,14.7 - 23.9,13.7,10 - 18.1,6.3,3.9 - 9.7,0,0 - 1.2,5,2.8 - 8.1,0.3,0 - 1.8,0
98,14.3,8 - 22.8,13.3,7.3 - 21.6,1,0 - 5.6,0,0 - 3.7,1,0 - 5.6,0,0 - 3.7,0
397,29.2,24.8 - 34,26.7,22.4 - 31.3,-,-,-,-,2.5,1.2 - 4.6,0,0 - 0.9,0
374,24.1,19.8 - 28.7,20.6,16.6 - 25,2.1,0.9 - 4.2,0.5,0.1 - 1.9,2.7,1.3 - 4.9,0.8,0.2 - 2.3,0
284,51.1,45.1 - 57,47,41.3 - 53.2,2.6,1 - 5,0,0 - 1.3,0,0 - 1.3,4,1.9 - 6.8,0
149,47.7,39.4 - 56,22.5,15.8 – 29.7,12.8,7.9 - 19.2,0,0 - 2.4,0.7,0 - 3.7,24.5,18.1 - 32.6,0
566,63.1,58.9 - 67.1,62.5,58.4 - 66.5,2.5,1.4 - 4.1,0.2,0 - 1,0.5,0.1 - 1.5,1.1,0.4 - 2.3,0
34,0,0 - 10.3,0,0 - 10.3,0,0 - 10.3,0,0 - 10.3,0,0 - 10.3,0,0 - 10.3,0
3 208,32.1,30.5 - 33.8,28.6,27 - 30.2,2.4,1.9 - 3,0.1,0 - 0.3,1.8,1.4 - 2.3,1.8,1.4 - 2.3,0
110,10,5.1 - 17.2,1.8,0.2 - 6.4,-,-,-,-,8.2,3.8 - 15,0,0 - 3.3,0
