Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 49
Table 23: Number of samples investigated and number of presumptive carbapenemase-producing Escherichia coli in the

-- Table 1 (auto-detected) --
"Pig meat,
2021",,"Fattening
pigs, 2021",,"Cattle meat,
2021",,"Cattle <1
years, 2021",,"Broiler meat,
2022",,"Broilers,
2022",,"Turkey
meat, 2022"
"N
S","n
CP","N
S","n
CP","N
S","n
CP","N
S","n
CP","N
S","n
CP","N
S","n
CP","N
S","n
CP","N
S"
319,0,301,0,323,0,-,-,340,0,298,0,177,0,137
300,0,300,0,300,0,301,0,312,0,189,0,156,0,-
150,0,191,0,151,0,-,-,150,0,456,0,-,-,-
139,0,261,0,130,0,203,0,131,0,144,0,110,0,94
143,0,64,0,139,0,-,-,152,0,188,0,-,-,-
294,0,302,3,298,0,-,-,296,0,293,0,152,0,-
337,0,269,0,280,0,291,0,352,0,697,0,113,0,-
150,0,158,0,150,0,-,-,148,0,150,0,-,-,-
313,0,307,0,308,0,-,-,300,0,301,0,151,0,-
321,0,350,0,312,0,281,0,323,0,406,0,321,0,420
457,0,376,0,417,0,296,0,462,0,386,0,442,0,351
76,0,74,0,75,0,-,-,156,0,91,0,-,-,-
300,1,300,0,300,3,-,-,300,0,300,0,150,0,300
300,0,300,0,300,0,-,-,300,0,300,0,150,0,98
305,0,301,21,301,0,310,5,170,0,609,0,241,0,397
-,-,-,-,-,-,-,-,151,0,150,0,149,0,-
