Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 51
Table 24: Key outcome indicator of prevalence of ESBL- and/or AmpC-producing

-- Table 1 (auto-detected) --
"2015-
2016","2016-
2017","2017-
2018","2018-
2019","2019-
2020","2020-
2021"
52.1,60.6,57.0,56.2,52.8,18.9
65.7,71.9,68.1,55.6,56.0,76.4
64.3,55.3,51.9,55.7,52.2,53.2
40.6,46.7,48.1,60.6,58.7,51.4
23.9,19.5,7.5,8.5,7.5,27.0
40.5,42.1,37.6,38.0,34.6,36.0
28.3,24.0,24.0,26.0,25.2,2.9
36.7,35.3,38.2,50.5,48.7,49.1
6.3,6.3,6.2,6.2,1.7,0.3
39.6,32.6,26.4,22.1,16.9,8.3
46.8,47.4,47.0,48.9,46.9,37.5
54.3,59.1,42.4,42.5,47.4,53.2
60.6,67.5,65.8,63.4,53.7,34.5
3.1,5.3,4.0,6.4,6.5,0.7
42.3,47.6,40.1,45.7,36.1,16.1
,52.5,82.3,82.4,68.7,45.9
62.3,60.6,43.6,48.8,51.0,45.3
49.7,67.9,69.3,55.8,51.8,87.3
52.6,40.9,40.7,52.4,52.2,26.1
,17.9,45.7,66.9,67.2,99.9
24.7,22.4,17.1,12.4,9.8,9.5
10.6,12.8,9.4,12.7,12.4,0.4
37.1,43.5,44.5,41.9,34.0,24.4
61.3,56.5,71.4,77.6,65.4,52.6
60.8,65.6,66.0,69.4,66.4,61.3
62.1,66.7,34.9,38.9,72.3,98.6
71.6,79.0,72.2,75.5,67.5,70.6
86.4,85.7,85.7,79.0,73.1,57.1
20.9,22.0,12.4,13.3,12.2,11.0
30.4,25.1,21.1,19.6,14.3,9.1
