"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 13
Table 2: Presumptive ESBL and AmpC-producing indicator E. coli isolates from broiler flocks collected within the routine monitoring and subjected to

-- Table 1 (auto-detected) --
"N
P1","N (a)
P2","ESBL and/or
AmpC",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ SYN(d)",,AmpC(e),,AmpC + ESBL(f)
,,N,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
146,26,17,11.6,16,11.0,5,3.4,3,2.1,2,1.4,1,0.7,0
100,5,5,5.0,2,2.0,1,1.0,0,0.0,3,3.0,0,0.0,0
85,1,1,1.2,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0
101,8,8,7.9,5,5.0,0,0.0,0,0.0,3,3.0,0,0.0,0
173,1,1,0.6,0,0.0,0,0.0,0,0.0,1,0.6,0,0.0,0
221,5,5,2.3,5,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0
214,3,2,0.9,2,0.9,0,0.0,0,0.0,1,0.5,1,0.5,0
170,1,1,0.6,1,0.6,1,0.6,0,0.0,0,0.0,0,0.0,0
170,5,4,2.4,1,0.6,1,0.6,0,0.0,3,1.8,0,0.0,0
200,2,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
170,4,3,1.8,2,1.2,0,0.0,1,0.6,1,0.6,0,0.0,0
200,2,2,1.0,2,1.0,1,0.5,0,0.0,0,0.0,0,0.0,0
93,28,27,29.0,16,17.2,3,3.2,0,0.0,14,15.1,3,3.2,0
85,8,8,9.4,7,8.2,1,1.2,1,1.2,1,1.2,0,0.0,0
209,1,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
181,4,4,2.2,3,1.7,1,0.6,0,0.0,1,0.6,0,0.0,0
161,6,6,3.7,5,3.1,0,0.0,0,0.0,1,0.6,0,0.0,0
170,8,8,4.7,4,2.4,2,1.2,1,0.6,4,2.4,0,0.0,0
170,6,6,3.5,6,3.5,1,0.6,1,0.6,0,0.0,0,0.0,0
178,1,1,0.6,0,0.0,0,0.0,0,0.0,1,0.6,0,0.0,0
183,4,4,2.2,2,1.1,2,1.1,0,0.0,2,1.1,0,0.0,0
"3,380",129,115,3.4,82,2.4,19,0.6,7,0.2,38,1.1,5,0.1,0
