"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 16
Table 4: Prevalence of presumptive ESBL- and AmpC-producing E. coli isolates from broiler meat collected within the specific ESBLs-/AmpC-/carbapenemase-

-- Table 1 (auto-detected) --
"N
s","ESBL and/or
AmpC(a)",,ESBL(b),,"ESBL only
CTX/CLA SYN(c)",,"ESBL only
CAZ/CLA SYN(d)",,AmpC(e),,"AmpC +
ESBL(f)"
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
304,38.2,32.7-43.9,23.7,19-28.9,4.6,2.5-7.6,0,0-1.2,15.5,11.6-20,1,0.2-2.9,0
300,59.9,51.9-63.3,49.2,41.6-53.2,16.3,11.7-20.3,3.4,1.6-6,14.9,10.6-18.8,4.1,2.1-6.9,0
150,57.4,49-65.4,32.7,25.2-40.8,23.3,16.8-30.9,0,0-2.4,25.3,18.6-33.1,0.6,0-3.7,0
139,37.4,28.7-45.3,22,15.1-29.4,8.8,4.5-14.6,1.5,0.2-5.1,15.4,9.6-22.2,0,0-2.6,0
134,44.8,36.2-53.6,29.1,21.6-37.6,6,2.6-11.4,0,0-2.7,20.1,13.7-27.9,4.5,1.7-9.5,0
291,47.4,41.6-53.3,25.8,20.8-31.2,6.2,3.7-9.6,0.3,0-1.9,22,17.4-27.2,0.3,0-1.9,0
293,18.4,14.2-23.4,8.2,5.3-11.9,3.4,1.6-6.2,0,0-1.3,10.9,7.6-15.1,0.7,0.1-2.4,0
75,50.7,38.9-62.4,28,18.2-39.6,9.3,3.8-18.3,0,0-4.8,22.6,13.8-33.8,0,0-4.8,0
300,15.3,11.4-19.9,3,1.4-5.6,0.3,0-1.8,0,0-1.2,12.3,8.8-16.6,0,0-1.2,0
333,25.2,20.6-30.2,22.8,18.4-27.7,1.8,0.7-3.9,0.6,0.1-2.2,7.2,4.7-10.5,4.8,2.8-7.7,0
444,35.1,29.6-38.6,30.7,25.5-34.2,3.3,1.7-5.2,0.5,0.1-1.6,8.8,6.1-11.6,4.4,2.6-6.6,0
307,51.8,46-57.5,41,35.5-46.8,16.6,12.6-21.3,0,0-1.2,14,10.3-18.4,3.3,1.6-5.9,0
221,74.7,68.4-80.3,31.7,25.6-38.2,15.4,10.9-20.8,1.3,0.3-3.9,44.8,38.1-51.6,1.8,0.5-4.6,0
299,59.8,54.1-65.5,28.8,23.7-34.3,14.7,10.9-19.2,1,0.2-2.9,31.8,26.5-37.4,0.7,0.1-2.4,0
316,68.4,62.9-73.4,54.4,48.8-60,14.6,10.9-18.9,1,0.2-2.7,17.1,13.1-21.7,3.1,1.5-5.7,0
235,38.3,31.6-44.4,18.5,13.6-23.8,6.9,3.9-10.8,0,0-1.6,20.6,15.5-26.2,0.9,0.1-3,0
150,61.3,53-69.2,36.6,29-44.9,14.7,9.4-21.4,0.7,0-3.7,26,19.2-33.8,1.4,0.2-4.7,0
60,46.6,32.1-58.4,46.6,32.1-58.4,15.5,7.1-26.6,5.2,1-13.9,0,0-6,0,0-6,0
550,11.6,9.1-14.6,10.9,8.4-13.8,3.3,2-5.1,0.4,0-1.3,0.9,0.3-2.1,0.2,0-1,0
291,14.1,10.3-18.6,12.4,8.8-16.7,1.7,0.6-4,0,0-1.3,4.1,2.1-7.1,2.4,1-4.9,0
314,65.3,59.7-70.5,34.4,29.2-39.9,11.5,8.2-15.5,0.3,0-1.8,35.4,30.1-40.9,4.5,2.5-7.4,0
149,69.8,61.7-77,61.1,52.8-68.9,9.4,5.2-15.3,0,0-2.4,12.1,7.3-18.4,3.4,1.1-7.7,0
297,33,27.7-38.7,11.4,8.1-15.6,4.7,2.6-7.8,0,0-1.2,23.2,18.5-28.5,1.7,0.5-3.9,0
425,24,20-28.4,16.5,13.1-20.3,7.8,5.4-10.7,1.7,0.7-3.4,8.5,6-11.5,0.9,0.3-2.4,0
150,57.4,49-65.4,28,21-35.9,3.3,1.1-7.6,8.6,4.7-14.4,30,22.8-38,0.6,0-3.7,0
300,78,72.9-82.6,55.3,49.5-61,10.7,7.4-14.7,0.3,0-1.8,26.4,21.4-31.7,3.7,1.8-6.5,0
288,14.9,11-19.6,5.2,2.9-8.4,1.4,0.4-3.5,0,0-1.3,10.1,6.8-14.1,0.3,0-1.9,0
309,13.6,10-17.9,8.4,5.6-12.1,2.3,0.9-4.6,0,0-1.2,6.1,3.7-9.4,1,0.2-2.8,0
"7,424",39.8,38.5-40.8,25.7,24.5-26.5,7.6,7-8.2,0.7,0.5-0.9,16.1,15.2-16.9,1.9,1.6-2.3,0
134,1.5,0.2-5.3,0,0-2.7,0,0-2.7,0,0-2.7,1.5,0.2-5.3,0,0-2.7,0
251,0.4,0-2.2,0,0-1.5,0,0-1.5,0,0-1.5,0.4,0-2.2,0,0-1.5,0
11,9.1,0.2-41.3,9.1,0.2-41.3,0,0-28.5,0,0-28.5,0,0-28.5,0,0-28.5,0
