"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 18
Table 5: Occurrence of presumptive ESBL- and AmpC-producing E. coli isolates from broiler meat collected within the specific ESBLs-/AmpC-/carbapenemase-

-- Table 1 (auto-detected) --
"N
P2",,,"ESBL and/or
AmpC(a)",,,,,,ESBL(b),,,,"ESBL only
CLA/CTX SYN(c)",,,,"ESBL only
CLA/CAZ SYN(d)",,,,AmpC(e),,,,"AmpC +
ESBL(f)"
,,,n,,,%(h),,,n,,,%(h),n,,,%(h),n,,,%(h),n,,,%(h),n,,,%(h),n
,116,,,116,,,100.0,,,72,,62.1,,14,,12.1,,0,,0.0,,47,,40.5,,3,,2.6,,0
,181,,,173,,95.6,,,,142,,78.5,,47,,26.0,,10,,5.5,,43,,23.8,,12,,6.6,,0
,87,,,86,,,98.9,,,49,,56.3,,35,,40.2,,0,,0.0,,38,,43.7,,1,,1.1,,0
,51,,,51,,,100.0,,,30,,58.8,,12,,23.5,,2,,3.9,,21,,41.2,,0,,0.0,,0
,60,,,60,,100.0,,,,39,,65.0,,8,,13.3,,0,,0.0,,27,,45.0,,6,,10.0,,0
,139,,,138,,,99.3,,,75,,54.0,,18,,12.9,,1,,0.7,,64,,46.0,,1,,0.7,,0
,54,,,54,,,100.0,,,24,,44.4,,10,,18.5,,0,,0.0,,32,,59.3,,2,,3.7,,0
,38,,,38,,,100.0,,,21,,55.3,,7,,18.4,,0,,0.0,,17,,44.7,,0,,0.0,,0
,46,,,46,,,100.0,,,9,,19.6,,1,,2.2,,0,,0.0,,37,,80.4,,0,,0.0,,0
,85,,,84,,,98.8,,,76,,89.4,,6,,7.1,,2,,2.4,,24,,28.2,,16,,18.8,,0
,152,,,151,,,99.3,,,132,,86.8,,14,,9.2,,2,,1.3,,38,,25.0,,19,,12.5,,0
,159,,,159,,100.0,,,,126,,79.2,,51,,32.1,,0,,0.0,,43,,27.0,,10,,6.3,,0
,165,,,165,,,100.0,,,70,,42.4,,34,,20.6,,3,,1.8,,99,,60.0,,4,,2.4,,0
,180,,,179,,,99.4,,,86,,47.8,,44,,24.4,,3,,1.7,,95,,52.8,,2,,1.1,,0
,216,,,216,,,100.0,,,172,,79.6,,46,,21.3,,3,,1.4,,55,,25.5,,11,,5.1,,0
,93,,,89,,,95.7,,,43,,46.2,,16,,17.2,,0,,0.0,,48,,51.6,,2,,2.2,,0
,93,,,92,,,98.9,,,55,,59.1,,22,,23.7,,1,,1.1,,39,,41.9,,2,,2.2,,0
,28,,,27,,,96.4,,,27,,96.4,,9,,32.1,,3,,10.7,,0,,0.0,,0,,0.0,,0
,65,,,64,,,98.5,,,60,,92.3,,18,,27.7,,2,,3.1,,5,,7.7,,1,,1.5,,0
,42,,,41,,,97.6,,,36,,85.7,,5,,11.9,,0,,0.0,,12,,28.6,,7,,16.7,,0
,206,,,205,,,99.5,,,108,,52.4,,36,,17.5,,1,,0.5,,111,,53.9,,14,,6.8,,0
,104,,,104,,,100.0,,,91,,87.5,,14,,13.5,,0,,0.0,,18,,17.3,,5,,4.8,,0
,99,,,98,,,99.0,,,34,,34.3,,14,,14.1,,0,,0.0,,69,,69.7,,5,,5.1,,0
,105,,,102,,,97.1,,,70,,66.7,,33,,31.4,,7,,6.7,,36,,34.3,,4,,3.8,,0
,87,,,86,,98.9,,,,42,,48.3,,5,,5.7,,13,,14.9,,45,,51.7,,1,,1.1,,0
,234,,,234,,,100.0,,,166,,70.9,,32,,13.7,,1,,0.4,,79,,33.8,,11,,4.7,,0
,43,,,43,,,100.0,,,15,,34.9,,4,,9.3,,0,,0.0,,29,,67.4,,1,,2.3,,0
,42,,,42,,,100.0,,,26,,61.9,,7,,16.7,,0,,0.0,,19,,45.2,,3,,7.1,,0
"2,970",,,"2,943",,,99.1,,,"1,896",,,63.8,562,,,18.9,54,,,1.8,"1,190",,,40.1,143,,,4.8,0
,2,,,2,,,100.0,,,0,,0.0,,0,,0.0,,0,,0.0,,2,,100.0,,0,,0.0,,0
,1,,,1,,,100.0,,,0,,0.0,,0,,0.0,,0,,0.0,,1,,100.0,,0,,0.0,,0
