"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 22
Table 7: Occurrence of presumptive ESBL- and AmpC-producing E. coli isolates from broilers collected within the specific ESBLs-/AmpC-/carbapenemase-

-- Table 1 (auto-detected) --
"N
P2","ESBL and/or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX SYN(c)",,"ESBL only
CLA/CAZ SYN(d)",,AmpC(e),,AmpC +ESBL(f)
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
113,113,100.0,77,68.1,21,18.6,0,0.0,44,38.9,8,7.1,0
175,166,94.9,143,81.7,33,18.9,7,4.0,28,16.0,5,2.9,0
163,163,100.0,105,64.4,67,41.1,1,0.6,63,38.7,5,3.1,0
100,99,99.0,62,62.0,25,25.0,1,1.0,38,38.0,1,1.0,0
47,47,100.0,37,78.7,5,10.6,0,0.0,19,40.4,9,19.1,0
141,141,100.0,75,53.2,13,9.2,2,1.4,66,46.8,0,0.0,0
124,122,98.4,19,15.3,9,7.3,0,0.0,104,83.9,1,0.8,0
69,67,97.1,52,75.4,7,10.1,2,2.9,16,23.2,1,1.4,0
38,38,100.0,5,13.2,0,0.0,0,0.0,33,86.8,0,0.0,0
76,75,98.7,66,86.8,9,11.8,0,0.0,28,36.8,19,25.0,0
184,184,100.0,156,84.8,8,4.3,2,1.1,43,23.4,15,8.2,0
170,170,100.0,128,75.3,61,35.9,1,0.6,47,27.6,5,2.9,0
207,207,100.0,79,38.2,31,15.0,1,0.5,135,65.2,7,3.4,0
158,158,100.0,50,31.6,21,13.3,3,1.9,108,68.4,0,0.0,0
410,409,99.8,326,79.5,105,25.6,0,0.0,102,24.9,19,4.6,0
76,76,100.0,71,93.4,13,17.1,0,0.0,5,6.6,0,0.0,0
141,141,100.0,90,63.8,26,18.4,2,1.4,57,40.4,6,4.3,0
1,1,100.0,1,100.0,0,0.0,0,0.0,1,100.0,1,100.0,0
85,85,100.0,69,81.2,19,22.4,8,9.4,16,18.8,0,0.0,0
67,67,100.0,58,86.6,9,13.4,1,1.5,13,19.4,4,6.0,0
144,139,96.5,79,54.9,24,16.7,3,2.1,77,53.5,17,11.8,0
234,234,100.0,210,89.7,23,9.8,1,0.4,61,26.1,37,15.8,0
574,549,95.6,325,56.6,175,30.5,3,0.5,251,43.7,27,4.7,0
105,101,96.2,52,49.5,24,22.9,4,3.8,50,47.6,1,1.0,0
125,124,99.2,72,57.6,15,12.0,4,3.2,53,42.4,1,0.8,0
237,233,98.3,193,81.4,31,13.1,4,1.7,53,22.4,13,5.5,0
42,42,100.0,16,38.1,7,16.7,2,4.8,28,66.7,2,4.8,0
31,31,100.0,12,38.7,2,6.5,0,0.0,19,61.3,0,0.0,0
"4,037","3,982",98.6,"2,628",65.1,783,19.4,52,1.3,"1,558",38.6,204,5.1,0
1,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0
1,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0
94,93,98.9,59,62.8,20,21.3,2,2.1,35,37.2,1,1.1,0
