"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 24
Table 8: Prevalence of presumptive ESBL- and AmpC-producing E. coli isolates from fattening turkeys collected within the specific ESBLs-/AmpC-

-- Table 1 (auto-detected) --
"N
s","ESBL and/or
AmpC(a)",,ESBL(b),,"ESBL only
CTX/CLA SYN(c)",,"ESBL only
CAZ/CLA SYN(d)",,AmpC(e),,AmpC + ESBL(f)
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
204,16.2,11.4-22,15.2,10.6-20.9,1.5,0.3-4.2,0,0-1.8,3.4,1.4-6.9,2.5,0.8-5.6,0
255,16.9,12.5-22,15.3,11.1-20.3,1.6,0.4-4,0,0-1.4,2.7,1.1-5.6,1.2,0.2-3.4,0
484,48.6,28.3-53.1,43.9,25.3-48.4,4,1.4-4.5,0,0-0.8,8.6,3.9-11.5,4,1.4-4.5,0
300,23.7,19-28.9,9.7,6.6-13.6,2.3,0.9-4.7,0,0-1.2,14.7,10.9-19.2,0.7,0.1-2.4,0
484,62.6,58.1-66.9,53.1,48.5-57.6,11.8,9-15,0,0.1-1.5,12.6,9.8-15.9,3.1,1.7-5.1,0
305,22.6,18-27.7,16.7,12.7-21.4,1.3,0.4-3.3,0,0-1.8,8.8,5.9-12.6,3,1.4-5.5,0
153,76.5,68.9-82.9,71.9,64.1-78.9,9.8,5.6-15.7,0,0-2.4,11.8,7.1-18,7.2,3.6-12.5,0
18,72.2,46.5-90.3,38.9,17.3-64.3,0,0-18.5,0,0-18.5,38.9,17.3-64.3,5.6,0.1-27.3,0
278,91,87-94.1,89.9,85.8-93.2,4.4,2.3-7.4,1,0.2-3.1,4.4,2.3-7.4,3.2,1.5-6.1,0
72,0,0-5,0,0-5,0,0-5,0,0-5,0,0-5,0,0-5,0
373,3.5,1.9-5.9,2.4,1.1-4.5,1.6,0.6-3.5,0,0-1,1.1,0.3-2.7,0,0-1,0
"2,926",39.3,34.9-41.1,33.9,29.9-35.7,4.4,3.4-4.9,0,0.1-0.4,7.9,6.4-8.4,2.5,1.8-2.9,0
137,9.5,5.1-15.7,1.5,0.2-5.2,0,0-2.7,0,0-2.7,9.5,5.1-15.7,1.5,0.2-5.2,0
