"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 34
Table 15: Prevalence of presumptive ESBL- and/or AmpC-producing E. coli isolates from fattening pigs collected within the specific ESBLs-/AmpC-

-- Table 1 (auto-detected) --
"N
s","ESBL and/or
AmpC(a)",,ESBL (b),,"ESBL only
CTX/CLA SYN(c)",,"ESBL only
CAZ/CLA SYN(d)",,AmpC(e),,AmpC+ESBL(f)
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
313,61.3,55.7-66.8,56.9,51.2-62.4,13.7,10.1-18.1,0.3,0-1.8,5.1,2.9-8.2,0.6,0.1-2.3,0
297,48.7,40.4-52,40.2,32.5-43.8,17,12.2-20.9,1.8,0.5-3.9,9.3,5.8-12.6,0.7,0.1-2.4,0
153,51.6,43.4-59.8,51.6,43.4-59.8,17,11.4-23.9,0.6,0-3.6,0.6,0-3.6,0.6,0-3.6,0
393,64.9,17.4-69.6,51,13.2-55.9,22.4,5-26.8,0.8,0-1.4,14.7,2.9-18.7,0.8,0-1.4,0
140,2.1,0.4-6.1,2.1,0.4-6.1,0,0-2.6,0,0-2.6,0,0-2.6,0,0-2.6,0
320,33.8,28.6-39.2,22.8,18.3-27.8,8.7,5.9-12.4,0,0-1.1,11.2,8-15.2,0.3,0-1.7,0
330,27,22-31.8,7.4,4.7-10.6,3.7,1.9-6.3,0,0-1.1,19.6,15.3-24.1,0,0-1.1,0
74,48.7,36.9-60.6,29.8,19.7-41.5,2.7,0.3-9.4,0,0-4.9,18.9,10.7-29.7,0,0-4.9,0
288,2.4,1-4.9,0.3,0-1.9,0.3,0-1.9,0,0-1.3,2.1,0.8-4.5,0,0-1.3,0
299,21.7,17.2-26.9,17.4,13.3-22.2,2.7,1.2-5.2,0.3,0-1.8,5,2.8-8.1,0.7,0.1-2.4,0
391,50.6,45.6-55.7,44,39-49.1,5.6,3.6-8.4,0,0-0.9,7.1,4.8-10.2,0.5,0.1-1.8,0
153,39.2,31.4-47.4,36,28.4-44.1,2,0.4-5.6,0,0-2.4,3.9,1.5-8.3,0.7,0-3.6,0
294,66.3,60.6-71.7,61.9,56.1-67.5,16,12-20.7,0.3,0-1.9,6.4,3.9-9.9,2.1,0.8-4.4,0
300,43.3,37.6-49.1,30.3,25.2-35.9,12,8.5-16.2,0,0-1.2,14,10.3-18.4,1,0.2-2.9,0
266,99.2,97.3-99.9,85,80.1-89,17.7,13.3-22.8,0.8,0.1-2.7,15,11-19.9,0.8,0.1-2.7,0
152,54,45.7-62.1,50,41.8-58.2,12.5,7.7-18.8,0,0-2.4,3.9,1.5-8.4,0,0-2.4,0
159,23.3,16.9-30.6,19.5,13.6-26.5,3.8,1.4-8,0,0-2.3,3.8,1.4-8,0,0-2.3,0
38,52.6,35.8-69,44.7,28.6-61.7,15.8,6-31.3,0,0-9.3,7.9,1.7-21.4,0,0-9.3,0
72,48.6,35.3-59.3,47.2,34-58,7.1,2.3-15.5,1.4,0-7.5,1.4,0-7.5,0,0-5,0
304,16.8,12.8-21.5,8.9,5.9-12.7,2.3,0.9-4.7,0,0-1.2,7.9,5.1-11.5,0,0-1.2,0
308,43.8,38.2-49.6,28.9,23.9-34.3,6.2,3.8-9.5,1.3,0.4-3.3,17.8,13.7-22.6,2.9,1.3-5.5,0
239,74.5,63.6-75.6,69.1,58.4-70.9,10.3,6.2-14.1,0,0-1.5,13.9,9-17.9,8.5,4.9-12.1,0
222,75.7,69.5-81.2,53.6,46.8-60.3,16.2,11.6-21.7,0,0-1.6,24.3,18.8-30.5,2.3,0.7-5.2,0
150,52,43.7-60.2,40.7,32.7-49,17.3,11.6-24.4,0.7,0-3.7,12,7.3-18.3,0.7,0-3.7,0
150,60.7,52.4-68.5,32.7,25.2-40.8,15.3,10-22.1,0,0-2.4,28,21-35.9,0,0-2.4,0
378,77.8,73.2-81.9,71.4,66.6-75.9,13.2,10-17.1,0.2,0-1.5,12.2,9-15.9,5.5,3.5-8.4,0.2
301,13,9.4-17.3,2.7,1.2-5.2,0.7,0.1-2.4,0,0-1.2,10.3,7.1-14.3,0,0-1.2,0
308,18.5,14.3-23.3,14.9,11.1-19.4,2.9,1.3-5.5,0.3,0-1.8,3.9,2-6.7,0.3,0-1.8,0
"6,792",42.7,41.5-43.9,34.1,33-35.3,8.6,7.9-9.3,0.3,0.2-0.5,9.7,9-10.5,1.2,0.9-1.4,0
134,12.7,7.6-19.5,1.5,0.2-5.3,0.7,0-4.1,0.7,0-4.1,11.9,7-18.7,0.7,0-4.1,0
287,18.8,14.5-23.8,1.7,0.6-4,0.4,0-1.9,0,0-1.3,17.1,12.9-21.9,0,0-1.3,0
306,13.1,9.5-17.4,8.8,5.9-12.6,2.6,1.1-5.1,0,0-1.2,4.6,2.5-7.6,0.3,0-1.8,0
