"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 36
Table 16: Occurrence of presumptive ESBL- and/or AmpC-producing E. coli isolates from fattening pigs collected within the specific ESBLs-/AmpC-

-- Table 1 (auto-detected) --
"N
p2","ESBL and/or
AmpC (a)",,ESBL (b),,"ESBL only
CTX/CLA SYN(c)",,"ESBL only
CAZ/CLA SYN(d)",,AmpC (e),,AmpC + ESBL(f)
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
192,192,100,178,92.7,43,22.4,1,0.5,16,8.3,2,1,0
144,137,95.1,113,78.5,48,33.3,5,3.5,26,18.1,2,1.4,0
81,79,97.5,79,97.5,26,32.1,1,1.2,1,1.2,1,1.2,0
84,84,100,66,78.6,29,34.5,1,1.2,19,22.6,1,1.2,0
3,3,100,3,100,0,0,0,0,0,0,0,0,0
108,108,100,73,67.6,28,25.9,0,0,36,33.3,1,0.9,0
89,88,98.9,24,27,12,13.5,0,0,64,71.9,0,0,0
37,36,97.3,22,59.5,2,5.4,0,0,14,37.8,0,0,0
7,7,100,1,14.3,1,14.3,0,0,6,85.7,0,0,0
66,65,98.5,52,78.8,8,12.1,1,1.5,15,22.7,2,3,0
198,198,100,172,86.9,22,11.1,0,0,28,14.1,2,1,0
60,60,100,55,91.7,3,5,0,0,6,10,1,1.7,0
195,195,100,182,93.3,47,24.1,1,0.5,19,9.7,6,3.1,0
133,130,97.7,91,68.4,36,27.1,0,0,42,31.6,3,2.3,0
266,264,99.2,226,85,47,17.7,2,0.8,40,15,2,0.8,0
83,82,98.8,76,91.6,19,22.9,0,0,6,7.2,0,0,0
37,37,100,31,83.8,6,16.2,0,0,6,16.2,0,0,0
20,20,100,17,85,6,30,0,0,3,15,0,0,0
34,34,100,33,97.1,5,14.7,1,2.9,1,2.9,0,0,0
51,51,100,27,52.9,7,13.7,0,0,24,47.1,0,0,0
136,135,99.3,89,65.4,19,14,4,2.9,55,40.4,9,6.6,0
167,167,100,155,92.8,23,13.8,0,0,31,18.6,19,11.4,0
168,168,100,119,70.8,36,21.4,0,0,54,32.1,5,3,0
80,78,97.5,61,76.3,26,32.5,1,1.3,18,22.5,1,1.3,0
92,91,98.9,49,53.3,23,25,0,0,42,45.7,0,0,0
295,294,99.7,270,91.5,50,16.9,1,0.3,46,15.6,21,7.1,1
39,39,100,8,20.5,2,5.1,0,0,31,79.5,0,0,0
58,57,98.3,46,79.3,9,15.5,1,1.7,12,20.7,1,1.7,0
"2,923","2,899",99.2,"2,318",79.3,583,19.9,20,0.7,661,22.6,79,2.7,0
17,17,100,2,11.8,1,5.9,1,5.9,16,94.1,1,5.9,0
54,54,100,5,9.3,1,1.9,0,0,49,90.7,0,0,0
40,40,100,27,67.5,8,20,0,0,14,35,1,2.5,0
