"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 38
Table 17: Prevalence of presumptive ESBL- and/or AmpC-producing E. coli isolates from bovine meat (retail) collected within the specific

-- Table 1 (auto-detected) --
"N
s","ESBL and/or
AmpC(a)",,ESBL(b),,"ESBL only
CTX/CLA SYN(c)",,"ESBL only
CAZ/CLA SYN(d)",,AmpC(e),,"AmpC
+ESBL(f)"
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
340,1.2,0.3-3,1.2,0.3-3,0.9,0.2-2.6,0,0-1.1,0,0-1.1,0,0-1.1,0
300,3.7,1.6-6,3.3,1.4-5.6,1.1,0.2-2.9,0,0-1.2,0.4,0-1.8,0,0-1.2,0
150,24,17.4-31.6,23.3,16.8-30.9,6.7,3.2-11.9,0,0-2.4,0.7,0-3.7,0,0-2.4,0
121,2.5,0.5-7.1,1.7,0.2-5.8,0.8,0-4.5,0,0-3,0.8,0-4.5,0,0-3,0
147,4.8,1.9-9.6,3.4,1.1-7.8,1.4,0.2-4.8,0,0-2.5,1.4,0.2-4.8,0,0-2.5,0
298,9.7,6.6-13.7,8.1,5.2-11.7,3.4,1.6-6.1,0,0-1.2,1.7,0.5-3.9,0,0-1.2,0
319,3.8,2-6.5,2.5,1.1-4.9,0.3,0-1.7,0,0-1.1,1.3,0.3-3.2,0,0-1.1,0
150,2,0.4-5.7,2,0.4-5.7,0.7,0-3.7,0,0-2.4,0,0-2.4,0,0-2.4,0
297,0.7,0.1-2.4,0.7,0.1-2.4,0,0-1.2,0,0-1.2,0,0-1.2,0,0-1.2,0
317,0.6,0.1-2.3,0,0-1.2,0,0-1.2,0,0-1.2,0.6,0.1-2.3,0,0-1.2,0
471,3.4,1.8-5.2,3.2,1.6-4.9,0.7,0.1-1.9,0,0-0.8,0.2,0-1.2,0,0-0.8,0
131,7.6,3.7-13.6,6.9,3.2-12.6,0.8,0-4.2,0,0-2.8,0.8,0-4.2,0,0-2.8,0
174,15.5,10.5-21.8,14.4,9.5-20.5,5.2,2.4-9.6,0,0-2.1,1.1,0.1-4.1,0,0-2.1,0
300,0.7,0.1-2.4,0,0-1.2,0,0-1.2,0,0-1.2,0.7,0.1-2.4,0,0-1.2,0
152,10.5,6.1-16.5,9.9,5.6-15.8,3.9,1.5-8.4,0,0-2.4,0.7,0-3.6,0,0-2.4,0
144,3.5,0.8-7,3.5,0.8-7,3.5,0.8-7,0,0-2.5,0,0-2.5,0,0-2.5,0
150,8,4.2-13.6,6.7,3.2-11.9,0.7,0-3.7,0,0-2.4,1.3,0.2-4.7,0,0-2.4,0
22,13.6,2.9-34.9,13.6,2.9-34.9,9.1,1.1-29.2,0,0-15.4,4.5,0.1-22.8,4.5,0.1-22.8,0
70,8.6,3.2-17.7,8.6,3.2-17.7,0,0-5.1,0,0-5.1,2.9,0.3-9.9,2.9,0.3-9.9,0
495,1.2,0.3-2.3,0.7,0.1-1.8,0.2,0-1.1,0,0-0.7,0.5,0-1.5,0,0-0.7,0
306,5.9,3.5-9.1,3.9,2-6.7,0.3,0-1.8,0,0-1.2,2.3,0.9-4.7,0.3,0-1.8,0
120,18.3,11.9-26.4,18.3,11.9-26.4,3.3,0.9-8.3,0,0-3,0.8,0-4.6,0.8,0-4.6,0
150,4,1.5-8.5,2.7,0.7-6.7,0.7,0-3.7,0,0-2.4,1.3,0.2-4.7,0,0-2.4,0
150,6.7,3.2-11.9,6.7,3.2-11.9,2.7,0.7-6.7,0,0-2.4,0,0-2.4,0,0-2.4,0
151,4.6,1.9-9.3,4.6,1.9-9.3,3.3,1.1-7.6,0,0-2.4,0,0-2.4,0,0-2.4,0
300,15.3,3.3-19.9,15.3,3.3-19.9,2.7,0.2-2.9,0,0-1.2,0.9,0-1.8,0.9,0-1.8,0
294,1,0.2-3,0.3,0-1.9,0,0-1.2,0,0-1.2,0.7,0.1-2.4,0,0-1.2,0
289,0.3,0-1.9,0.3,0-1.9,0.3,0-1.9,0,0-1.3,0,0-1.3,0,0-1.3,0

-- Table 2 (auto-detected) --
139,0.7,0-3.9,0.7,0-3.9,0,0-2.6,0,0-2.6,0,0-2.6,0,0-2.6,0
349,0.9,0.2-2.5,0.9,0.2-2.5,0.6,0.1-2.1,0,0-1.1,0,0-1.1,0,0-1.1,0
10,0,0-30.8,0,0-30.8,0,0-30.8,0,0-30.8,0,0-30.8,0,0-30.8,10
