"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 40
Table 18: Occurrence of presumptive ESBL- and/or AmpC-producing E. coli isolates from bovine meat (retail) collected within the specific

-- Table 1 (auto-detected) --
"N
p2","ESBL and/or
AmpC(a)",,ESBL (b),,"ESBL only
CTX/CLA SYN(c)",,"ESBL only
CAZ/CLA SYN(d)",,AmpC(e),,AmpC+ESBL(f)
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
4,4,100,4,100,3,75,0,0,0,0,0,0,0
10,10,100,9,90,3,30,0,0,1,10,0,0,0
36,36,100,35,97.2,10,27.8,0,0,1,2.8,0,0,0
3,3,100,2,66.7,1,33.3,0,0,1,33.3,0,0,0
7,7,100,5,71.4,2,28.6,0,0,2,28.6,0,0,0
29,29,100,24,82.8,10,34.5,0,0,5,17.2,0,0,0
12,12,100,8,66.7,1,8.3,0,0,4,33.3,0,0,0
3,3,100,3,100,1,33.3,0,0,0,0,0,0,0
2,2,100,2,100,0,0,0,0,0,0,0,0,0
2,2,100,0,0,0,0,0,0,2,100,0,0,0
15,15,100,14,93.3,3,20,0,0,1,6.7,0,0,0
10,10,100,9,90,1,10,0,0,1,10,0,0,0
27,27,100,25,92.6,9,33.3,0,0,2,7.4,0,0,0
2,2,100,0,0,0,0,0,0,2,100,0,0,0
16,16,100,15,93.8,6,37.5,0,0,1,6.3,0,0,0
4,4,100,4,100,4,100,0,0,0,0,0,0,0
12,12,100,10,83.3,1,8.3,0,0,2,16.7,0,0,0
3,3,100,3,100,2,66.7,0,0,1,33.3,1,33.3,0
6,6,100,6,100,0,0,0,0,2,33.3,2,33.3,0
5,5,100,3,60,1,20,0,0,2,40,0,0,0
18,18,100,12,66.7,1,5.6,0,0,7,38.9,1,5.6,0
22,22,100,22,100,4,18.2,0,0,1,4.5,1,4.5,0
6,6,100,4,66.7,1,16.7,0,0,2,33.3,0,0,0
10,10,100,10,100,4,40,0,0,0,0,0,0,0
7,7,100,7,100,5,71.4,0,0,0,0,0,0,0
17,17,100,17,100,3,17.6,0,0,1,5.9,1,5.9,0
3,3,100,1,33.3,0,0,0,0,2,66.7,0,0,0
1,1,100,1,100,1,100,0,0,0,0,0,0,0
292,292,100,255,87.3,77,26.4,0,0,43,14.7,6,2.1,0
1,1,100,1,100,0,0,0,0,0,0,0,0,0
3,3,100,3,100,2,66.7,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,100,0,0,0,0,0,0,1,100,0,0,0
