"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 43
Table 20: Occurrence of presumptive ESBL- and/or AmpC-producing E. coli isolates from cattle under 1 year of age collected within the specific

-- Table 1 (auto-detected) --
"N
p2",ESBL and/or AmpC(a),,ESBL(b),,"ESBL only
CTX/CLASYN(c)",,"ESBL only
CAZ/CLASYN(d)",,AmpC(e),,AmpC+ESBL(f)
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
170,166,97.6,156,91.8,26,15.3,3,1.8,16,9.4,6,3.5,0
40,40,100,26,65,8,20,0,0,14,35,0,0,0
25,24,96,13,52,6,24,0,0,12,48,1,4,0
51,49,96.1,31,60.8,6,11.8,0,0,21,41.2,3,5.9,0
275,275,100,269,97.8,32,11.6,0,0,13,4.7,7,2.5,0
268,267,99.6,264,98.5,62,23.1,1,0.4,6,2.2,3,1.1,0
103,103,100,96,93.2,10,9.7,0,0,13,12.6,6,5.8,0
126,126,100,124,98.4,8,6.3,0,0,6,4.8,4,3.2,0
157,155,98.7,144,91.7,39,24.8,0,0,19,12.1,8,5.1,0
"1,215","1,205",99.2,"1,123",92.4,197,16.2,4,0.3,120,9.9,38,3.1,0
14,13,92.9,4,28.6,0,0,0,0,9,64.3,0,0,0
98,91,92.9,63,64.3,15,15.3,0,0,30,30.6,2,2,0
