"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 44
Table 21: Changes in key outcome indicator of ESBL- and/or AmpC- producing indicator E. coli

-- Table 1 (auto-detected) --
2015-2016,2016-2017,2017-2018
52.1,59.9,56.4
65.8,71.9,68.2
64.4,55.3,51.9
38.9,46.8,48.1
24.6,22.1,9.4
40.5,42.1,37.6
27.3,24.0,23.9
36.7,35.3,38.2
6.3,6.3,6.2
39.6,32.8,26.6
47.2,47.5,47.0
54.4,59.1,42.5
60.6,67.5,65.8
42.3,47.6,40.1
-,88.7,82.3
62.4,60.6,43.6
49.7,67.9,69.3
58.9,40.9,40.7
-,-,45.7
23.7,23.9,19.1
44.7,51.1,44.5
61.3,56.5,71.4
60.8,65.6,66.0
62.1,66.7,35.0
71.6,79.0,72.2
86.4,85.7,85.7
20.7,22.0,12.3
27.1,24.8,14.3
49.2,49.9,46.8
-,5.3,4.0
10.9,12.8,9.5
30.3,25.1,21.1
48.7,49.3,46.2
