"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 45
Table 22: Number of samples investigated and number of presumptive carbapenemase-producing E. coli in the voluntary specific carbapenemase-producing

-- Table 1 (auto-detected) --
"Pig Meat
2019",,"Fattening Pigs
2019",,"Bovine Meat
2019",,"Cattle, <1 year old
2019",,"Broiler Meat
2018",,"Broilers
2018"
"N
s","n
CP","N
s","n
CP","N
s","n
CP","N
s","n
CP","N
s","n
CP","N
s","n
CP","N
s"
313,0,313,0,2,0,–,–,295,0,305,0,193
300,0,297,0,300,0,300,0,300,0,291,0,–
150,0,153,0,150,0,–,–,–,–,–,–,–
126,0,393,0,121,0,170,0,139,0,300,0,–
1,0,319,0,5,0,–,–,291,0,319,0,–
317,0,329,0,2,0,306,0,293,0,837,0,–
4,0,74,0,2,0,–,–,75,0,85,0,–
7,0,288,0,287,0,–,–,300,0,289,0,–
322,0,299,0,317,0,244,0,333,0,301,0,255
501,2,–,–,–,0,–,–,384,0,300,0,300
1,0,153,0,1,0,–,–,307,0,378,0,–
279,0,295,0,175,0,–,–,223,0,300,0,300
300,0,300,0,300,0,–,–,300,0,298,0,–
–,–,266,1,–,–,–,–,316,0,512,0,484
–,–,51,0,–,–,–,–,–,–,–,–,–
305,0,308,0,306,0,–,–,–,–,315,0,305
116,0,152,0,109,0,141,0,–,–,–,–,–
–,–,222,1,–,–,–,–,–,–,–,–,–
2,0,150,0,1,–,–,–,–,–,–,–,–
27,0,150,0,2,0,–,–,150,0,150,0,–
12,0,300,0,4,0,–,–,288,0,300,0,72
285,0,308,0,289,0,–,–,309,0,302,0,373
"3,368",2,"5,120",2,"2,373",0,"1,161",0,"4,303",0,"5,582",0,"2,282"
352,0,286,0,349,0,319,0,–,–,279,0,137
