Combined E. coli AMR data — Index

Sheet name,Source file,Original sheet / page,Description
C23 Table of Contents,Annex C._Indicator E. coli_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Table of Contents,Indicator E. coli AMR (EFSA-ECDC EUSR 2023-2024) - Annex C
C23 T. 1. Pigs EC,Annex C._Indicator E. coli_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,T. 1. Pigs EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2023-2024) - Annex C
C23 T. 2. Calves EC,Annex C._Indicator E. coli_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,T. 2. Calves EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2023-2024) - Annex C
C23 T. 3. Broilers EC,Annex C._Indicator E. coli_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,T. 3. Broilers EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2023-2024) - Annex C
C23 T. 4. Turkey EC,Annex C._Indicator E. coli_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,T. 4. Turkey EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2023-2024) - Annex C
C23 T. 5. Pig meat BCP EC,Annex C._Indicator E. coli_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,T. 5. Pig meat BCP EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2023-2024) - Annex C
C23 T. 6. Bovine meat BCP EC,Annex C._Indicator E. coli_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,T. 6. Bovine meat BCP EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2023-2024) - Annex C
C23 T. 7. Broiler meat BCP EC,Annex C._Indicator E. coli_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,T. 7. Broiler meat BCP EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2023-2024) - Annex C
C23 T. 8. Turkey meat BCP EC,Annex C._Indicator E. coli_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,T. 8. Turkey meat BCP EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2023-2024) - Annex C
C22 Table of Contents,Annex C_Indicator E. coli_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Table of Contents,Indicator E. coli AMR (EFSA-ECDC EUSR 2022-2023) - Annex C
C22 T. 1. Pigs EC,Annex C_Indicator E. coli_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,T. 1. Pigs EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2022-2023) - Annex C
C22 T. 2. Cattle <1y EC,Annex C_Indicator E. coli_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,T. 2. Cattle <1y EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2022-2023) - Annex C
C22 T. 3. Broilers EC,Annex C_Indicator E. coli_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,T. 3. Broilers EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2022-2023) - Annex C
C22 T. 4. Turkey EC,Annex C_Indicator E. coli_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,T. 4. Turkey EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2022-2023) - Annex C
C22 T. 5. Pig meat BCP EC,Annex C_Indicator E. coli_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,T. 5. Pig meat BCP EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2022-2023) - Annex C
C22 T. 6. Bovine meat BCP EC,Annex C_Indicator E. coli_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,T. 6. Bovine meat BCP EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2022-2023) - Annex C
C22 T. 7. Broiler meat BCP EC,Annex C_Indicator E. coli_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,T. 7. Broiler meat BCP EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2022-2023) - Annex C
C22 T. 8. Turkey meat BCP EC,Annex C_Indicator E. coli_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,T. 8. Turkey meat BCP EC,Indicator E. coli AMR (EFSA-ECDC EUSR 2022-2023) - Annex C
D23 Table of Contents,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Table of Contents,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Ind.EC broilers,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Ind.EC broilers,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Ind.EC turkeys,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Ind.EC turkeys,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Ind.EC pigs,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Ind.EC pigs,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Ind.EC calves,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Ind.EC calves,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Prevalence broilers,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Prevalence broilers,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Prevalence turkeys,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Prevalence turkeys,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Prevalence pigs,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Prevalence pigs,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Prevalence calves,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Prevalence calves,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Prevalence broiler meat,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Prevalence broiler meat,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Prevalence turkey meat,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Prevalence turkey meat,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Prevalence pig meat,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Prevalence pig meat,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Prevalence bovine meat,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Prevalence bovine meat,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Occurrence broilers,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Occurrence broilers,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Occurrence turkeys,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Occurrence turkeys,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Occurrence pigs,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Occurrence pigs,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Occurrence calves,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Occurrence calves,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Occurrence broiler meat,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Occurrence broiler meat,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Occurrence turkey meat,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Occurrence turkey meat,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Occurrence pig meat,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Occurrence pig meat,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Occurrence bovine meat,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Occurrence bovine meat,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Samples investigated CP-pro,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Samples investigated CP-pro,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D23 Occurrence retail & import,Annex D.1_ ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2023-2024.xlsm,Occurrence retail & import,ESBL/AmpC/CP-producing E. coli (EUSR 2023-2024) - Annex D.1
D22 Table of Contents,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Table of Contents,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Ind.EC broiler,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Ind.EC broiler,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Ind.EC fat. turkey,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Ind.EC fat. turkey,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Prevalence broiler meat,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Prevalence broiler meat,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Occurrence broiler meat,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Occurrence broiler meat,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Prevalence broilers,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Prevalence broilers,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Occurrence broilers,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Occurrence broilers,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Prevalence turkey meat,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Prevalence turkey meat,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Occurrence turkey meat,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Occurrence turkey meat,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Prevalence fattening turkey,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Prevalence fattening turkey,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Occurrence fattening turkey,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Occurrence fattening turkey,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Ind.EC fattening pig,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Ind.EC fattening pig,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Ind.EC cattle,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Ind.EC cattle,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Prevalence pig meat,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Prevalence pig meat,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Occurrence pig meat,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Occurrence pig meat,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Prevalence fattening pigs,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Prevalence fattening pigs,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Occurrence fattening pigs,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Occurrence fattening pigs,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Prevalence cattle meat,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Prevalence cattle meat,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Occurrence cattle meat,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Occurrence cattle meat,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Prevalence cattle <1 year,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Prevalence cattle <1 year,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
