Country,N,GEN (%),AMK (%),CHL (%),AMP (%),CTX (%),CAZ (%),MEM (%),TGC (%),NAL (%),CIP (%),AZM (%),COL (%),SMX (%),TMP (%),TET (%),CS (%),MDR (%),"Resistance to both CIP/CTX, applying ECOFFs","Resistance to both CIP/CTX, applying CBPs"
Austria,172,1.7,0.6,4.7,18.0,1.7,1.7,0.0,1.2,1.2,1.7,0.6,0.0,20.3,14.0,33.1,57.0,16.3,0.0,0.0
Belgium,176,2.3,1.1,17.0,31.3,0.0,0.0,0.0,1.1,5.7,6.8,1.1,0.0,34.7,30.1,29.0,46.6,30.1,0.0,0.0
Bulgaria,85,2.4,0.0,42.4,61.2,0.0,0.0,0.0,0.0,3.5,21.2,2.4,0.0,56.5,38.8,70.6,15.3,56.5,0.0,0.0
Croatia,84,4.8,0.0,25.0,42.9,2.4,2.4,0.0,0.0,11.9,19.0,4.8,0.0,39.3,31.0,60.7,23.8,42.9,0.0,0.0
Cyprus,32,6.3,0.0,56.3,68.8,12.5,12.5,0.0,0.0,21.9,21.9,9.4,0.0,68.8,46.9,71.9,12.5,68.8,9.4,3.1
Czechia,180,0.0,0.0,9.4,43.3,3.9,3.9,0.0,0.0,7.8,10.6,2.2,0.0,26.7,18.3,36.1,40.6,23.3,0.6,0.6
Denmark,172,1.7,0.6,7.6,33.7,1.2,0.6,0.0,0.0,0.0,1.2,3.5,0.0,39.0,30.8,34.9,48.3,31.4,0.0,0.0
Estonia,151,0.0,1.3,3.3,24.5,0.0,0.0,0.0,3.3,2.0,2.6,0.0,0.0,23.2,16.6,35.8,54.3,19.9,0.0,0.0
Finland,170,0.0,0.0,1.2,12.9,0.6,0.6,0.0,0.0,0.6,0.6,0.0,0.0,11.8,10.0,16.5,69.4,6.5,0.0,0.0
France,191,0.0,1.0,9.9,24.6,0.0,0.0,0.0,0.0,2.1,2.1,0.5,0.0,27.7,22.0,41.9,47.6,25.1,0.0,0.0
Germany,195,0.5,0.0,4.6,29.2,1.0,1.0,0.0,0.0,4.1,5.1,4.1,0.0,21.5,16.4,26.2,54.9,19.0,0.5,0.0
Greece,68,2.9,0.0,50.0,69.1,1.5,1.5,0.0,0.0,8.8,19.1,7.4,1.5,69.1,50.0,82.4,7.4,67.6,0.0,0.0
Hungary,170,1.2,0.6,6.5,41.8,1.2,1.2,0.0,0.0,2.9,4.1,0.0,0.0,30.6,27.1,41.2,38.8,30.6,0.0,0.0
Ireland,170,2.4,0.0,7.6,35.9,0.6,0.6,0.0,0.0,6.5,8.2,1.2,0.0,36.5,30.6,45.9,38.2,34.7,0.6,0.0
