Country,N,GEN (%),AMK (%),CHL (%),AMP (%),CTX (%),CAZ (%),MEM (%),TGC (%),NAL (%),CIP (%),AZM (%),COL (%),SMX (%),TMP (%),TET (%),CS (%),MDR (%),"Resistance to both CIP/CTX, applying ECOFFs","Resistance to both CIP/CTX, applying CBPs"
Austria,199,4.5,0.0,4.0,40.7,1.0,1.5,0.0,0.0,44.7,50.3,0.0,0.0,33.2,28.6,25.1,29.1,35.7,0.5,0.0
Belgium,170,5.3,0.0,15.9,69.4,1.8,2.4,0.0,0.0,45.3,48.2,3.5,0.0,55.9,38.2,28.8,17.1,49.4,1.8,0.0
Bulgaria,85,17.6,1.2,35.3,72.9,0.0,0.0,0.0,1.2,81.2,88.2,5.9,3.5,92.9,49.4,52.9,0.0,81.2,0.0,0.0
Croatia,85,7.1,0.0,8.2,45.9,0.0,0.0,0.0,0.0,84.7,84.7,0.0,0.0,41.2,37.6,40.0,8.2,47.1,0.0,0.0
Cyprus,120,8.3,0.0,19.2,82.5,13.3,11.7,0.0,0.0,68.3,82.5,0.0,0.0,58.3,43.3,69.2,8.3,74.2,13.3,11.7
Czechia,178,1.7,0.0,2.2,37.6,0.6,0.6,0.0,0.0,78.7,80.3,0.6,0.0,25.3,17.4,23.6,12.9,29.2,0.6,0.0
Denmark,173,1.7,1.2,0.0,16.2,0.0,0.0,0.0,0.0,10.4,11.0,0.6,0.0,21.4,9.8,6.9,64.2,11.6,0.0,0.0
Estonia,152,0.7,0.7,2.0,21.1,2.6,2.6,0.0,0.0,42.1,42.1,0.7,0.7,7.9,3.9,10.5,48.0,13.2,2.0,0.7
Finland,170,1.2,0.0,0.0,2.9,0.0,0.0,0.0,0.0,2.4,2.4,0.0,0.0,4.7,2.4,10.0,82.4,1.2,0.0,0.0
France,220,3.6,0.0,7.3,41.8,0.5,0.5,0.0,0.0,29.5,29.5,0.5,0.0,39.5,30.5,32.3,34.5,32.3,0.0,0.0
